Key,Czech
hint_test_inline_image,
hint_settings_language_change_error,"Nelze provést
Změna jazyka je možná jen z hlavní nabídky."
hint_changelog_patchnotes,
hint_settings_iron_man,"Železná vůle
Díky této možnosti se ti bude postup ukládat jen při ukončení hry. Pamatuj, že hru nebudeš moct pravidelně ukládat a načítat.

I když je tento režim nelítostný, umožní ti prožít emotivnější zážitek ze hry."
hint_settings_normal_peaceful,"Mírumilovný režim
Obtížnost hry je snížená a sousedi tě nebudou obtěžovat, pokud si s nimi něco nezačneš.

Počet počátečních surovin je také vyšší.

<b>Doporučeno pro hráče, kteří chtějí v klidu rozvíjet svou osadu, a také pro nové hráče.</b>"
hint_settings_normal_start,"Normální režim
Režim, který nabízí vyvážený zážitek. Obtížnost hry se bude během prvních pár dnů po začátku postupně zvyšovat.

Hra ti v průběhu představí nové mechanismy a výzvy, takže se budeš moct přizpůsobit.

<b>Doporučeno pro hráče, kteří už hru znají a chtějí ji hrát tak, jak to vývojáři zamýšleli.</b>"
hint_settings_hardcore_start,"Hardcore
<b>V režimu hardcore</b> začínají všechny výzvy od prvního dne, což vyžaduje velkou koncentraci, schopnost multitaskingu a znalosti hry.

Počáteční suroviny jsou rovněž omezené.

<b>Doporučeno pouze pro velmi zkušené hráče!</b>"
hint_army_power,"Síla vojsk
$ Síla vojsk ostatních králů se počítá jako celková hodnota vybavení bojovníků.
$ Sílu tvého vojska sousedi počítají jako celkovou hodnotu nejlepších zbraní a zbrojí, které si tvoji válečníci mohou vzít."
hint_desire,"Touhy
Čas od času postavy zachvátí rozličné touhy. Ty se dají dělit na silné <hint=hint_desire_obsession>posedlosti</hint> (například touha po pomstě) a mírnější <hint=hint_desire_dream>sny</hint>.

<img=hint_desire></img>

$ Když postavu zachvátí <hint=hint_desire_obsession>posedlost</hint>, bude výrazně trpět, dokud svou touhu nenaplní. Nespokojenost se bude zvyšovat a v některých případech se může postava rozhodnout, že svou touhu naplní sama.
$ <hint=hint_desire_dream>Sny</hint> postavy tolik neobtěžují, ale z jejich naplnění mohou čerpat <hint=hint_tutorial_inspiration>povzbuzení</hint>.
$ Po naplnění touhy postava vždy získá silnou pozitivní myšlenku.
$ Touhy se zobrazují na první záložce v okně postavy."
hint_action,"Úkoly postav
Když klikneš na akční tlačítko v nabídce budov či postav, můžeš svým lordům přiřadit různé úkoly, které se pokusí splnit, jakmile to bude možné. Tyto úkoly se zobrazují jako tlačítka nad příslušnou nabídkou.

Když na tlačítko úkolu klikneš, můžeš je přinutit vykonat daný úkol okamžitě, ale můžeš je tím naštvat.

Lord nebude vykonávat žádné úkoly, pokud bude <hint=hint_unhappy>nespokojený</hint>.

Úkoly můžeš rovněž přiřazovat <b>kliknutím pravého tlačítka</b> na budovy či postavy, čímž vyvoláš kontextovou nabídku."
hint_fleshwolf,"Hladový vlk
Nebezpečná šelma a zástupce vzácné fauny v Norlandu.

Hladoví vlci se považují za stejně silné jednotky jako bojovník {wolf_level}. úrovně bojové schopnosti ozbrojený <hint=hint_resource_wooden_spear>kopím</hint>.

$ Obývají lesy a vyhýbají se otevřeným prostranstvím. Mohou zaútočit na lidi. Chraň rolníky pomocí <hint=hint_bld_patrol_sign_day>denních hlídek</hint>.
$ Lordi je tradičně loví ve dvojicích pouze pomocí zbraní nablízko, čímž těmto zvířatům projevují úctu.
$ Rovněž na ně můžeš zaútočit pomocí čet válečníků.
$ Každá mrtvola zabitých hladových vlků obsahuje trochu jedlého <hint=hint_resource_meat>masa</hint>."
