Key,Deutsch
hint_test_inline_image,
hint_settings_language_change_error,"Nicht verfügbar
Das Ändern der Sprache ist nur über das Hauptmenü möglich."
hint_changelog_patchnotes,"~
Willkommen im Early Access von Norland!

Das Spiel entwickelt sich stetig weiter und wir ergänzen laufend neue Mechaniken – was mitunter Fehler oder andere kleinere Ärgernisse nach sich ziehen kann.

Wir bitten dich daher um dein Verständnis! Lass uns im Forum, über E-Mail oder via Discord wissen, wenn du im Spiel auf unerfreuliche Dinge stößt. Wir werden uns große Mühe geben, alles so schnell wie möglich in den Griff zu kriegen!

Beste Grüße
Die Entwickler"
hint_settings_iron_man,"Eiserner Wille
Bei Aktivierung wird der Spielfortschritt nur beim Beenden des Spiels gespeichert. Beachte, dass du das Spiel in diesem Fall nicht normal speichern & laden kannst.

Dieser Modus ist zwar erbarmungslos, ermöglicht dir allerdings ein wesentlich emotionaleres Spielerlebnis."
hint_settings_normal_peaceful,"Friedlicher Modus
Der Schwierigkeitsgrad des Spiels ist reduziert und Nachbarn machen keine Probleme, sofern du nicht selbst zur Aggression übergehst.

Die Anzahl der Startressourcen wurde ebenfalls erhöht.

<b>Für jene Spieler empfohlen, die ihre Siedlung friedlich entwickeln wollen – und für neue Spieler.</b>"
hint_settings_normal_start,"Normaler Modus
Ein Modus, der ein ausgewogenes Spielerlebnis ermöglicht. Der Schwierigkeitsgrad des Spiels nimmt in den ersten Tagen nach Spielbeginn kontinuierlich zu.

Neue Mechaniken und Herausforderungen werden im Fortlauf des Spiels eingeführt und erlauben dir, dich daran anzupassen.

<b>Für Spieler empfohlen, die bereits mit dem Spiel vertraut sind und es nach den Vorstellungen der Entwickler spielen möchten.</b>"
hint_settings_hardcore_start,"Hardcore
<b>Im Hardcore-Modus</b> erfordern alle Herausforderungen ab Tag eins eine hohe Konzentration, Multitasking-Fähigkeiten und umfassende Spielkenntnisse.

Die Startressourcen sind zudem begrenzter.

<b>Nur für sehr erfahrene Spieler empfohlen!</b>"
hint_army_power,"Armeekampfkraft
$ Die Kampfkraft der Armeen anderer Könige wird als Gesamtwert der von den Kriegern getragenen Ausrüstung errechnet.
$ Deine Armeekampfkraft wird von Nachbarn als Gesamtwert der besten Waffen und Rüstungen errechnet, die von deinen Kriegern getragen werden können."
hint_desire,"Sehnsüchte
Von Zeit zu Zeit werden Personen von verschiedenen Sehnsüchten übermannt. Diese werden in starke <hint=hint_desire_obsession>Besessenheit</hint> (wie etwa Sehnsucht nach Rache) und leichtere <hint=hint_desire_dream>Träume</hint> unterteilt.

<img=hint_desire></img>

$ Wenn eine Person von einer <hint=hint_desire_obsession>Besessenheit</hint> ergriffen wird, leidet sie Qualen, bis die Sehnsucht erfüllt wird. Die Intensität der Unzufriedenheit nimmt zu und in manchen Fällen können sich Personen dazu entschließen, ihre Sehnsüchte auf eigene Faust zu erfüllen.
$ <hint=hint_desire_dream>Träume</hint> beeinträchtigen Personen nicht auf dieselbe Art und Weise, die Erfüllung der betreffenden Sehnsucht verschafft ihnen jedoch <hint=hint_tutorial_inspiration>Inspiration</hint>.
$ Das Erfüllen von Sehnsüchten verschafft einer Person stets einen starken positiven Gedanken.
$ Sehnsüchte werden im ersten Reiter des Personenfensters angezeigt."
hint_action,"Personenaufgaben
Klicke auf die Schaltfläche „Zuweisen“ im Gebäude- oder Personenmenü, um deinen Lords verschiedene Aufgaben zuzuweisen, die sie bei Verfügbarkeit zu erfüllen versuchen. Diese Aufgaben werden als Schaltflächen über ihrem Menü dargestellt.

Du kannst sie dazu zwingen, eine Aufgabe sofort umzusetzen, indem du auf die Aufgaben-Schaltfläche klickst, doch es wird sie verärgern.

Ist ein Lord <hint=hint_unhappy>unzufrieden</hint>, wird er die Aufgabe nicht ausführen.

Du kannst Aufgaben auch zuweisen, indem du auf Gebäude oder Personen <b>rechtsklickst</b> und das entsprechende Kontextmenü öffnest."
