Key,English
hint_test_inline_image,"Тест вложенного изображения
Если включить, игра будет сохраняться только на выходе, не позволяя вам переигрывать неудачные моменты через постоянную загрузку.

<img=s_gui_event_background_king></img>

Смена языка возможна только через <hint=hint_test_inline_image_2>Главное меню.</hint>

<img=s_not_existed_image></img>"
hint_settings_language_change_error,"Unavailable
Language change is only possible through the Main Menu."
hint_changelog_patchnotes,"~
Welcome to the Early Access of Norland!

The game is rapidly evolving, and we are constantly adding new mechanics, which often leads to bugs or other annoying issues.

So please be understanding, and let us know on the forum, via email, or in Discord if you encounter an unpleasant gaming experience - we'll try to fix everything as quickly as possible!

Best regards,  
The Development Team."
hint_settings_iron_man,"Iron Will
When enabled, the game will only save your progress upon exiting. Be advised that you won't be able to regularly save & load.

This mode, while unforgiving, will allow you to experience the game in a more emotional way"
hint_settings_normal_peaceful,"Peaceful Mode
Game difficulty is reduced, and neighbors won't bother you unless you initiate aggressive actions yourself.

The number of starting resources has also been increased.

<b>Recommended for those who want to peacefully develop their settlement, as well as for new players.</b>"
hint_settings_normal_start,"Normal Mode
A mode that allows for a balanced experience. The game's difficulty will gradually increase during the first few days after starting the game.

New mechanics and challenges will be introduced over the course of the game, allowing you to adapt.

<b>Recommended for players who are already familiar with the game and want to play it as it was intended.</b>"
hint_settings_hardcore_start,"Hardcore
<b>In hardcore mode</b>, all challenges start from day one, requiring high concentration, multitasking skills, and knowledge of the game.

Initial resources are also more limited.

<b>Recommended for very experienced players only!</b>"
hint_army_power,"Army Strength
$ The strength of other kings' armies is calculated as the total value of the fighters' equipment.
$ Your army's strength is calculated by neighbors as the total value of the best weapons and armor that your warriors can wear."
hint_desire,"Desires
From time to time, characters are overtaken by various desires. These are divided into strong <hint=hint_desire_obsession>obsessions</hint> (such as a desire for revenge) and lighter <hint=hint_desire_dream>dreams</hint>.

<img=hint_desire></img>

$ When a character is overtaken by an <hint=hint_desire_obsession>obsession</hint>, they will suffer greatly until the desire is fulfilled. The intensity of dissatisfaction will grow, and in some cases, the character may decide to fulfill the desire on their own.
$ <hint=hint_desire_dream>Dreams</hint> do not bother the character as much, but fulfilling this desire grants them <hint=hint_tutorial_inspiration>Inspiration</hint>.
$ Fulfilling desires will always give the character a strong positive thought.
$ Desires are displayed in the first tab of the character window."
hint_action,"Character Tasks
By clicking on the action button in the Building or Character menu, you can assign various tasks to your lords, which they will strive to accomplish as they become available. These tasks are displayed as buttons above their menu.

You can force them to immediately perform the task by clicking on the task button, but it will upset them.

A lord will not carry out a task if they are <hint=hint_unhappy>unhappy</hint>.

You can also assign tasks by <b>right-clicking</b>on buildings or characters to bring up a context menu."
hint_fleshwolf,"Fleshwolf
A powerful predator and a representative of the scarce fauna of Norland.

It is considered that the fleshwolf is equivalent in strength to a fighter with a {wolf_level} Combat skill, armed with a <hint=hint_resource_wooden_spear>Spear</hint>.

$ They inhabit the forests and avoid open spaces. They can attack humans. Use <hint=hint_bld_patrol_sign_day>Day Patrols</hint> to protect the peasants.
$ Lords traditionally hunt them in pairs, using only melee weapons, as an expression of honor toward the creatures.
$ They can also be attacked with warrior squads.
$ The carcass of each killed fleshwolf contains some edible <hint=hint_resource_meat>Meat</hint>."
hint_action_task_reward,"Reward
The character will receive a reward from the king for faithful service.

King: {skill_name} level {skill_level}

<b>As a result:</b>
$ Thought <green>Rewarded: {mind_modify}</green>
$ Loyalty: <green>{loyalty_modify}</green>
$ Relationship with the king: <green>{relations_modify}</green>

<b>Cost:</b>: <hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_threat,"Threat
The king threatens consequences if the character contemplates betrayal.

King: {skill_name} level {skill_level}

<b>As a result</b>
$ Loyalty: <green>{loyalty_modify}</green>

<b>Side Effects</b>:
$ Negative thought: <red>Subjected to threats: {threat_moral_modify}</red>
$ There is a chance that the character will attack the king."
hint_action_task_donate,"Request for Donation
The ruler asks for a donation of several <hint=hint_resource_rune>Holy Rings</hint> as assistance.

Ruler: {skill_name} level {skill_level}

<b>As a result</b>
$ Thought <red>Forced to donate: {mind_modify}</red>
$ Loyalty: <red>{loyalty_modify}</red>

<b>The ruler receives</b>:
$ {rings_rew_number} <hint=hint_resource_rune>Holy Rings</hint>"
hint_action_new_heir,"Appoint as Heir
The ruler will declare this character as his heir.

<b>As a result:</b>
$ {soul_uuid_1} will become the heir.
$ The old heir, {soul_uuid_2}, will feel undermined and develop resentment toward the ruler and {soul_uuid_1}."
hint_action_new_king,"Pass the Crown
The king will give the crown to this character.

<b>Consequences:</b>
$ {soul_uuid_1} will become monarch. 
$ The relationships between your king and the <hint=hint_bishop>Bishop</hint>, the Matriarch, and your neighbors will start afresh. 
$ The old monarch {soul_uuid_2} will be depressed and hate {soul_uuid_1}."
hint_action_give_title_to_hired_free_lord,"Grant a Title to a Free Lord
The king will grant a <hint=hint_title>title</hint> to {soul_uuid_1}, making him a full-fledged member of the family.

It will be necessary to pay a tax to the Loving Family to secure {soul_uuid_1}'s rights to his lineage.

<b>Consequences</b>
$ {soul_uuid_1} will receive the title and join {faction_uuid}.
$ <hint=hint_resource_gold>{give_title_cost}</hint> will be spent as a tax to the Loving Family.
$ The number of available titles will decrease by 1.
{optional_philistine}"
hint_action_give_title_to_soldier,"Grant a Title to a Warrior
The king bestows a <hint=hint_title>title</hint> upon the landless warrior {soul_uuid_1}, making them a full-fledged member of the family. The skills of such a lord will be relatively low.

A tax to the Loving Family will be required for the documentation of the lineage for {soul_uuid_1}.

Other lords will have a negative attitude toward them due to their low birth.

<b>Consequences</b>
$ {soul_uuid_1} will receive the title and become a full-fledged lord in {faction_uuid}.
$ Initial attitude of other lords: <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> will be spent on the Loving Family tax.
$ The number of available titles will decrease by 1."
hint_action_take_title,"Strip Lord's Title
The King will strip lord {soul_uuid_1} of his <hint=hint_title>title</hint>, and he will become <hint=hint_untitled_lord>a lesser lord</hint>.

<b>Consequences</b>
$ Disowned lord will never forget this humiliation and develop a negative thought toward the King with a strength of <red>{der_thought}</red>.
$ The friends of this lord will be upset and will think worse of the King.
$ Your family will get a free title."
hint_action_task_dice,"Play Dice
Play dice with another lord.

The outcome of the game is quite random but is largely influenced by the difference in the players' <hint=hint_skill_knowledge>Intelligence</hint> skill.

The bet will be <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Play Dice
Play dice with another lord.

The bet will be <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Intelligence {number1}
$ {soul_uuid_2}: Intelligence {number2}

The probability of {soul_uuid_1} winning is {ver}%."
hint_action_make_enemy,"Declare as an Enemy
Declare {soul_uuid_target} an enemy of your king.

$ The character will attempt to flee the kingdom as quickly as possible.
$ Your lords and warriors will try to attack and kill this character (assuming they are armed).
$ You can also attack him with a <hint=hint_army>battle squad</hint> (right-click on the target).
{additional_info_stack}"
hint_action_task_hunt,"Hunting
The characters are hunting a <hint=hint_fleshwolf>fleshwolf</hint> together.

It is considered that the fleshwolf is equivalent in strength to a fighter with a {wolf_level} Combat skill, armed with a <hint=hint_resource_wooden_spear>Spear</hint>.

$ On success, if the fleshwolf is defeated and both hunters remain on foot, they receive a long-lasting <hint=hint_thought_social>social thought</hint> “Hunted Together” <green>{hunt_improve}</green>.
$ Additionally, in case of a successful hunt, participants will receive {exp_points} points in <hint=hint_skill_combat>Combat skill</hint> and <hint=hint_skill_command>Command skill</hint>.
$ If any of the hunters loses the fight, both receive a negative social thought “Bad Hunter” <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Hunting
{soul_uuid_1}: <hint=hint_skill_combat>Combat skill</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>Combat skill</hint>: {skill_2}
{soul_2_equipment_stack}

Fleshwolf is equivalent in strength to a fighter with a {wolf_level} Combat skill, armed with a <hint=hint_resource_wooden_spear>Spear</hint>."
hint_action_task_together,"Spend Time Together
Characters spend time together; they will walk, pray, play music, and so on.

During this time, there will definitely be 2 <hint=hint_conversation>deep conversations</hint> - not necessarily good ones.

The likelihood of a good conversation depends on the <hint=hint_mood>mood</hint> of the characters, and the strength of thoughts resulting from this conversation depends on the skill of <hint=hint_skill_manners>Manners</hint>."
hint_action_task_hunt_unavailable,"Unavailable
The bishop is not available for hunting."
hint_action_task_hunt_by_no_wolf,"Unavailable
There are no fleshwolves available for hunting in the forest."
hint_action_task_together_new_context,"Spending Time Together
$ {soul_uuid_1}: Mood {mood_stack_1}, <hint=hint_skill_manners>Manners:</hint> {skill_level_1} 
$ {soul_uuid_2}: Mood {mood_stack_2}, <hint=hint_skill_manners>Manners:</hint> {skill_level_2}

<b>As a result:</b>
{soul_uuid_1} will think about ${soul_uuid_2}:
{deep_social_stack_1}
Mood: {moral_change_1}

{soul_uuid_2} will think about ${soul_uuid_1}:
{deep_social_stack_2}
Mood: {moral_change_2}"
hint_child_sub_context,"~
This character is a parent, so this action will also fulfill the child's need for <hint=hint_need_care>care</hint>."
hint_marriage_local,"Marry
Without daring to oppose the will of their ruler, two lords will enter into a lawful <hint=hint_marriage>marriage</hint>.

Marriages between children and parents or between brothers and sisters are prohibited.
{optional_philistine}"
hint_marriage_local_context,"Marry
{soul_uuid_1} will become the spouse of {soul_uuid_2}."
hint_action_task_lesson,"~
$ A child who has grown up and learned to read will also acquire the teacher's <hint=hint_idea>knowledge</hint>.
$ The trainee gains more experience for the skill, for which they have a <hint=hint_talant>talent</hint>.
$ The action will occur daily."
hint_action_task_lesson_context,"Learn
This teacher will be able to develop the student's skills:
$ {skill_name} up to level {skill_level_cup}
$ {skill_name_2} up to level {skill_level_cup_2}

Training efficiency:
$ The teacher has <hint=hint_skill_teaching>Training</hint> skill: {skill_level_3}
$ And can pass on {exp} experience points per lesson

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"General Training
The teacher will train the student in all skills, first focusing on the student's talents to their skill limit and then the remaining skills in turn."
hint_action_task_lesson_guest,"~
This character is your guest, so the lesson costs <hint=hint_resource_rune>{price}</hint>.

The payment will be taken from the king's pocket."
hint_action_task_lesson_change_culture,"~
This character belongs to a {culture} culture, so there is a chance that the student can change his culture."
hint_action_task_lesson_guest_no_money,"Not Enough Rings
This character is your guest, so the lesson costs <hint=hint_resource_rune>{price}</hint>.

You do not have enough Holy Rings to pay for the lesson."
hint_action_task_lesson_bishop_low_opinion,"Poor Relationship
Poor relationship with your king.

Improve the relationship with your king to <green>{option_req}</green>."
hint_duel,"Duel
The characters will attempt to determine their relationship through an official duel.

$ Removes the <hint=hint_desire>desire</hint> for revenge or death from the enemy, if present in the duelists.
$ The duel continues until one of the participants loses consciousness, but a lethal outcome is possible.
$ The more pain the duelist inflicts on the opponent, the easier it becomes for them to resolve their desire.
$ A duel is recognized as an honorable way to resolve disputes, so even if you kill the <hint=hint_bishop>Bishop</hint> in a duel, you will not incur the Matriarch's wrath."
hint_duel_provoke,"Provocation
A guest from a neighboring province has provoked your lord into a duel. It will take place this evening.

If you are not confident in its outcome, you can expel the guest from your province before that time. Your lord will avoid danger, but this will worsen the attitude of the guest monarch (and his own) towards your ruler."
hint_duel_context,"Duel
{soul_uuid_1}: <hint=hint_skill_combat>Combat skill</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: <hint=hint_skill_combat>Combat skill</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Incompatible actor
The lord must be an <hint=hint_enemy>enemy</hint> of {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Savant
Savants cannot be trained."
hint_action_invite,"Invite as Guest
The lord will accept the invitation to visit your settlement for a few days.

$ The lord will agree if the relationship between your kings is not below <green>{opinion_threshold}</green>."
hint_action_shadow,"Dark Deeds
You can hire cutthroats from this city to carry out dark deeds such as theft and kidnapping in the <b>city's action menu</b>.

The cost of their services depends on the <hint=hint_skill_speech>Persuasion</hint> skill of your king."
hint_action_task_hire_free_lord,"Hire
Hire a free lord for 10 days.

You will be able to assign them the same tasks as your own lords - inspect buildings, lead squads, and more.

The cost depends on the level of the <hint=hint_skill_speech>Persuasion</hint> skill of the lord who will negotiate with them."
hint_action_task_hire_free_lord_context,"Hire a Lord
{skill_name} level {skill_level}
{skill_name} level of the available lord: {free_lord_skill_level}

Total cost for 10 days: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

Hint: The lord will receive their payment only after the contract expires, and until then, it will be kept by the Church as a guarantee of good behavior from both parties."
hint_action_task_seduce,"Seduce
If a lord’s <hint=hint_interest>interest</hint> in the performer is <green>high</green> (above {interest_high}), they will spend time together in bed.

<b>As a result:</b>
$ The target will <green>greatly improve their opinion</green> of your ruler (thanks to the seducer),
$ If their opinion of your ruler exceeds {puppet_treshold}, they will become your <hint=hint_encyclopedia_puppets>puppet</hint>.
$ If the target is a ruler of another city and their opinion exceeds {puppet_treshold_duty_of_honor}, they will gain a <hint=hint_debt_of_honor>debt of honor</hint> toward you.

<b>Cost:</b> The seducer will receive a negative thought, and the target will lose interest in them."
hint_action_task_seduce_context,"Seduce
{skill_name} level {skill_level}

<b>As a result</b>
$ Relationship with your ruler ({soul_uuid_king}): <green>{rel_plus}</green>
{optional_negtive_mind_to_performer}
{optional_will_become_puppet}
{optional_will_duty_of_honor}"
hint_action_task_seduce_local,"Seduce
$ If the <hint=hint_interest>interest</hint> of the lord toward the actor is <green>high</green> (above {interest_high}), they will spend time in bed.
$ As a result, the target <green>will improve their relationship</green> with your ruler, potentially making them your <hint=hint_encyclopedia_puppets>puppet</hint>."
hint_action_task_seduce_local_context,"Seduce
{skill_name} level {skill_level}
{target_skill_name} of the target: level {target_skill_level}

<b>As a result</b>
$ Thought of {soul_uuid_performer}: <red>{being_used}</red>
$ Relationship with your ruler ({soul_uuid_king}): <green>{rel_plus}</green>

Interest of {soul_uuid_target} in {soul_uuid_performer}: {interest_stack}"
hint_poison,"Poison
If the poisoning succeeds, the target will die in agony, but suspicion will fall on the perpetrator, and they will be banned from visiting the province.

In case of failure, the <hint=hint_relations>relationship</hint> between your <hint=hint_persons_king>kings</hint> will greatly deteriorate, and the target will engage in a fight to the death. The poisoner will no longer be able to visit this province.

$ The success probability depends on the difference in the <hint=hint_skill_knowledge>Intelligence</hint> skill between the interacting characters.
$ You must have a character with the trait <hint=hint_trait_poisoner>Poisoner</hint> and high loyalty to your king."
hint_poison_context,"Poison
{soul_uuid_performer}
{skill_name_2} level {skill_level_2}

{soul_uuid_target}
{skill_name_1} level {skill_level_1}

<b>Success Probability:</b> {assain_chance}%

In case of failure, the <hint=hint_relations>relationship</hint> between your <hint=hint_persons_king>kings</hint> will greatly deteriorate, and the target will engage in a fight to the death."
hint_action_task_bribe,"Bribe
$ The lord will give the character <hint=hint_resource_rune>{rings_rew_number}</hint> and try to instill dissatisfaction with their own king.
$ As a result, the <hint=hint_loyalty>loyalty</hint> of the lord toward their king will decrease.
$ The magnitude of loyalty decrease in the target depends on the <hint=hint_skill_speech>Persuasion</hint> skill of the actor.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Bribe
{skill_name} level {skill_level}
{skill_name} level of the target: {lord_skill_level}

<b>As a result</b>
$ <hint=hint_loyalty>Loyalty</hint> toward their own king: <red>{loyalty_modify}</red>
$ Relationship with your ruler ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Price</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Not available
This lord is loyal to their king."
hint_action_task_bribe_gm,"~
This task can be accomplished with the help of an envoy. In that case, the bribe will be made on behalf of your king, and its effectiveness will depend on the envoy's skills."
hint_action_task_go,"Expel
Ask the guest to leave the province.

The attitude of the guest's ruler and the guest himself towards your monarch will deteriorate.

In addition, this guest will be prohibited from visiting your province in the future."
hint_action_task_go_context,"Expel
Ask the guest to leave the province. 

The performer’s Manners skill affects the reduction of negative thoughts from this action.

{soul_uuid_performer}:
{skill_name_2} {skill_level_2}

$ Attitude of {soul_uuid_target} towards {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Attitude of {soul_uuid_king} towards {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ This character will no longer be able to visit you."
hint_kidnap,"Character Abduction
Attempt to capture the chosen character while they are sleeping.

$ If the character does not wake up (probability - {wake_k}%), they will become a <hint=hint_trait_captive>hostage</hint>.
$ If the target wakes up, a fight with the actor will ensue, after which the target will try to escape from the settlement. However, you still have a chance to capture them if the actor or guards manage to incapacitate them.

In any case, you will have violated the sacred law of hospitality, and your king's <hint=hint_relations>relationship</hint> with all neighboring <hint=hint_persons_king>kings</hint> will greatly deteriorate.

The <hint=hint_loyalty>loyalty</hint> of the actor must be higher than {loyalty_action} for them to take on the task."
hint_kidnap_context,"Character Abduction
Probability of the victim waking up: {wake}%

{soul_uuid_performer}:
{skill_name_1} level {skill_level_1}

{soul_uuid_target}:
{skill_name_2} level {skill_level_2} 
{optional_wake_info}"
hint_diplomacy,"Reconciliation
The character can persuade a hostile king to end a meaningless and dangerous war and start fresh with a clean slate.

$ Relationship with the enemy king becomes <red>-10</red> regardless of the current level of enmity.
$ You must have a character with the <hint=hint_trait_diplomat>Diplomat</hint> trait.
$ Additionally, the <hint=hint_loyalty>loyalty</hint> of the actor must be higher than {loyalty_action} for them to take on the task.

<b>Price</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Reconciliation
Relationship with the enemy king becomes <red>-10</red> regardless of the current level of enmity.

<b>Price</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
