Key,French
hint_test_inline_image,
hint_settings_language_change_error,"Indisponible
Modifiez la langue depuis le menu principal."
hint_changelog_patchnotes,"~
Bienvenue sur l'accès anticipé de Norland !

Le jeu évolue rapidement et nous ajoutons constamment de nouvelles mécaniques, ce qui peut créer des bugs ou autres problèmes agaçants.

Merci donc de faire preuve de compréhension et faites-nous savoir sur le forum, par e-mail ou sur Discord si votre expérience de jeu n'est pas agréable. Nous tâcherons de régler les problèmes le plus vite possible !

Cordialement, 
L'équipe de développement"
hint_settings_iron_man,"Mode Volonté de fer
Votre progression est enregistrée uniquement lorsque vous quittez le jeu. Vous ne pouvez donc pas enregistrer et charger votre partie régulièrement.

Ce mode est impitoyable, mais il vous permet de ressentir plus d'émotions lorsque vous jouez."
hint_settings_normal_peaceful,"Mode paisible
La difficulté du jeu est réduite et vos voisins ne vous importunent pas tant que vous ne prenez aucune mesure agressive.

Vous obtenez également plus de ressources de départ.

<b>Ce mode est recommandé à celles et ceux qui souhaitent étendre tranquillement leur cité ou qui découvrent le jeu.</b>"
hint_settings_normal_start,"Mode normal
Profitez d'une expérience équilibrée. La difficulté du jeu augmente au fur et à mesure pendant les premiers jours.

De nouvelles mécaniques et de nouveaux défis sont ajoutés au fil du jeu, vous permettant ainsi de vous adapter.

<b>Ce mode est recommandé à celles et ceux qui connaissent déjà le jeu et qui souhaitent y jouer comme il a été pensé.</b>"
hint_settings_hardcore_start,"Mode extrême
<b>En mode Extrême</b>, affrontez tous les défis dès le début. Faites preuve de concentration et démontrez votre capacité à effectuer plusieurs tâches à la fois ainsi que votre connaissance du jeu.

Vous obtenez également moins de ressources de départ.

<b>Ce mode est recommandé uniquement à celles et ceux qui ont déjà une grande expérience du jeu !</b>"
hint_army_power,"Puissance militaire
$ La puissance des armées d'un autre royaume correspond à la valeur totale de l'équipement de ses troupes.
$ La puissance de votre armée aux yeux de vos voisins correspond à la valeur totale des meilleures armes et armures que vos troupes peuvent porter."
hint_desire,"Désirs
De temps en temps, les personnages sont tourmentés par différents désirs. Ceux-ci peuvent prendre la forme d'<hint=hint_desire_obsession>obsessions</hint> intenses (le désir de vengeance, par exemple) ou simplement de <hint=hint_desire_dream>rêves</hint> plus modérés.

<img=hint_desire></img>

$ Lorsqu'un personnage est submergé par une <hint=hint_desire_obsession>obsession</hint>, la douleur sera insupportable jusqu'à ce que le désir soit satisfait. Le besoin de satisfaire un désir grandira et dans certains cas, le personnage pourrait décider d'assouvir personnellement son désir.
$ Les <hint=hint_desire_dream>rêves</hint> ne dérangent pas autant les personnages, mais s'ils les exaucent, ils se sentiront plus <hint=hint_tutorial_inspiration>inspirés</hint>.
$ Un personnage dont les désirs sont assouvis ressentira toujours une impression positive.
$ Les désirs sont affichés dans le premier onglet de la fenêtre du personnage."
hint_action,"Tâches du personnage
Pour assigner des tâches à vos nobles, cliquez sur le bouton Assigner dans le menu d'un bâtiment ou d'un personnage de la noblesse. Vos personnages chercheront à les accomplir dès qu'ils seront disponibles. Ces tâches sont affichées comme des boutons au-dessus de leur menu.

Pour forcer un personnage à effectuer immédiatement une tâche, cliquez sur le bouton de la tâche. Attention, cela le fâchera.

Un personnage <hint=hint_unhappy>maussade</hint> n'accomplira pas de tâches.

Vous pouvez également attribuer des tâches par un <b>clic droit</b> sur un bâtiment ou un personnage pour faire apparaître un menu contextuel."
