Code,Indonesia
hint_test_inline_image,
hint_settings_language_change_error,"Tidak tersedia
Pengubahan bahasa hanya dapat dilakukan melalui Menu Utama."
hint_changelog_patchnotes,"~
Selamat datang di Akses Awal Norland!

Game ini berkembang pesat, dan kami terus menambahkan mekanisme baru, yang seringkali mengakibatkan bug atau masalah mengganggu lainnya.

Jadi, kami ingin Anda memahaminya, dan beri tahu kami di forum, email, atau Discord jika Anda mengalami pengalaman bermain yang tidak menyenangkan - kami akan berusaha memperbaikinya secepat mungkin!

Salam hangat,
Tim Pengembang"
hint_settings_iron_man,"Iron Will
Saat diaktifkan, game hanya akan menyimpan progres Anda setelah keluar. Perlu diketahui bahwa Anda tidak akan dapat menyimpan & memuat secara teratur.

Mode ini, meskipun tanpa ampun, akan memungkinkan Anda untuk merasakan game dengan cara yang lebih emosional."
hint_settings_normal_peaceful,"Mode Damai
Kesulitan permainan berkurang, dan tetangga tidak akan mengganggu Anda kecuali Anda sendiri yang memulai tindakan agresif.

Jumlah sumber daya awal juga telah ditingkatkan.

<b>Direkomendasikan bagi mereka yang ingin mengembangkan permukiman mereka dengan damai, serta bagi pemain baru.</b>"
hint_settings_normal_start,"Mode Normal
Mode yang memberikan pengalaman bermain yang seimbang. Tingkat kesulitan permainan akan meningkat secara bertahap selama beberapa hari pertama setelah permainan dimulai.

Mekanisme dan tantangan baru akan diperkenalkan selama permainan berlangsung, memungkinkan Anda untuk beradaptasi.

<b>Direkomendasikan bagi pemain yang sudah familiar dengan permainan ini dan ingin memainkannya sesuai rencana.</b>"
hint_settings_hardcore_start,"Hardcore
<b>Dalam mode hardcore</b>, semua tantangan dimulai dari hari pertama, membutuhkan konsentrasi tinggi, kemampuan multitasking, dan pengetahuan tentang permainan.

Sumber daya awal juga lebih terbatas.

<b>Direkomendasikan hanya untuk pemain yang sangat berpengalaman!</b>"
hint_army_power,"Kekuatan Tentara
$ Kekuatan tentara raja lain dihitung sebagai nilai total perlengkapan para prajurit.
$ Kekuatan tentara Anda dihitung oleh tetangga sebagai nilai total senjata dan baju zirah terbaik yang dapat dikenakan prajurit Anda."
hint_desire,"Keinginan
Dari waktu ke waktu, karakter diliputi oleh berbagai keinginan. Keinginan-keinginan ini terbagi menjadi <hint=hint_desire_obsession>obsesi</hint> (such as a desire for revenge) yang kuat dan <hint=hint_desire_dream>mimpi</hint> yang lebih ringan.

<img=hint_desire></img>

$ Ketika seorang karakter diliputi oleh <hint=hint_desire_obsession>obsesi</hint>, mereka akan sangat menderita hingga keinginan tersebut terpenuhi. Intensitas ketidakpuasan akan meningkat, dan dalam beberapa kasus, karakter tersebut mungkin memutuskan untuk memenuhi keinginannya sendiri.
$ <hint=hint_desire_dream>Mimpi</hint> tidak terlalu mengganggu karakter, tetapi memenuhi keinginan ini memberi mereka <hint=hint_tutorial_inspiration>Inspirasi</hint>.
$ Memenuhi keinginan akan selalu memberi karakter pemikiran positif yang kuat.
$ Keinginan ditampilkan di tab pertama jendela karakter."
hint_action,"Tugas Karakter
Dengan mengeklik tombol aksi di menu Bangunan atau Karakter, Anda dapat menetapkan berbagai tugas kepada penguasa Anda, yang akan mereka upayakan untuk selesaikan segera setelah tersedia. Tugas-tugas ini ditampilkan sebagai tombol di atas menu mereka.

Anda dapat memaksa mereka untuk segera melakukan tugas dengan mengeklik tombol tugas, tetapi hal itu akan membuat mereka kesal.

Penguasa tidak akan menjalankan tugas jika mereka <hint=hint_unhappy>tidak senang</hint>.

Anda juga dapat menetapkan tugas dengan <b>mengklik kanan</b>bangunan atau karakter untuk menampilkan menu konteks."
