Key,Hungarian
hint_test_inline_image,
hint_settings_language_change_error,"Nem elérhető
A nyelv megváltoztatása csak a főmenüben lehetséges."
hint_changelog_patchnotes,
hint_settings_iron_man,"Vasakarat
Ha be van kapcsolva, a játék csak a kilépéskor menti el az állást. Vedd figyelembe, hogy nem fogsz tudni rendszeresen menteni és tölteni.

Ez a játékmód nem kegyelmez, viszont jobban beleélheted magad a játékba."
hint_settings_normal_peaceful,"Békés mód
A játék nehézsége csökken, és a szomszédok nem zargatnak, hacsak te nem lépsz fel agresszívan ellenük.

Az induló nyersanyagmennyiség is nő.

<b>A város békés fejlesztésére vágyóknak, valamint új játékosoknak ajánlott.</b>"
hint_settings_normal_start,"Normál mód
Ez a játékmód kiegyensúlyozott élményt kínál. A nehézség a játék indítása utáni első napokban fokozatosan növekszik.

A játék során az új mechanikák és kihívások fokozatosan kerülnek bevezetésre, így jobban alkalmazkodhatsz.

<b>Azoknak a játékosoknak ajánlott, akik már ismerik a játékot, és szeretnének úgy játszani vele, ahogy terveztük.</b>"
hint_settings_hardcore_start,"Veterán
<b>A veterán játékmódban</b> már az első naptól vannak kihívások, ami komoly összpontosítást, a figyelem megosztását és a játék ismeretét követeli.

Az induló nyersanyagok is korlátozottabbak.

<b>Csak nagyon tapasztalt játékosoknak ajánlott!</b>"
hint_army_power,"A hadsereg ereje
$ Más uralkodók seregeinek erejét a harcosok felszerelésének összértéke adja.
$ A te hadsereged erejét a szomszédok a harcosaid által viselhető legjobb fegyverek és páncélok összértékeként kapják meg."
hint_desire,"Vágyak
A karaktereket időről időre különféle vágyak ragadják el. Ez lehet erős <hint=hint_desire_obsession>megszállottság</hint> (például bosszúvágy) vagy enyhébb <hint=hint_desire_dream>álom</hint>.

<img=hint_desire></img>

$ Ha egy karaktert elragad egy <hint=hint_desire_obsession>megszállottság</hint>, nagyon szenved, amíg a vágya be nem teljesül. Az elégedetlenség mértéke egyre nő, és bizonyos esetekben a karakter úgy dönthet, hogy saját maga teljesíti be a vágyat.
$ Az <hint=hint_desire_dream>álmok</hint> nem zavarják annyira a karaktert, de a vágy teljesítése <hint=hint_tutorial_inspiration>ihletet</hint> biztosít számára.
$ A vágy teljesítése mindig erős pozitív gondolatot ad a karakternek.
$ A vágyak a karakterablak első lapján jelennek meg."
hint_action,"Karakterek feladatai
Az Épület vagy a Karakter menüben a beavatkozás gombra kattintva különféle feladatokat adhatsz a nemeseknek, amiket ők, amint lehetséges, igyekeznek teljesíteni. Ezek a feladatok gombokként jelennek meg a karakterek menüje felett.

A feladat gombra kattintva kényszerítheted őket, hogy azonnal végrehajtsák az adott feladatot, ez azonban felzaklatja őket.

Ha <hint=hint_unhappy>elégedetlenek</hint>, a nemesek nem hajtják végre a feladataikat.

Feladatokat <b>jobb gombbal</b> az épületekre vagy karakterekre kattintva a megjelenő helyi menüből is kioszthatsz."
