Key,Italiana
hint_test_inline_image,
hint_settings_language_change_error,"Non disponibile
Il cambio di lingua è possibile solo attraverso il menu principale."
hint_changelog_patchnotes,"~
Ti diamo il benvenuto all'accesso anticipato di Norland!

Il gioco è in continua evoluzione: stiamo aggiungendo costantemente nuove meccaniche, che possono portare a bug o altri fastidiosi problemi.

Chiediamo quindi la tua comprensione. Facci sapere sul forum, via e-mail o su Discord se incontri qualsiasi spiacevole esperienza di gioco: cercheremo di correggerla il più rapidamente possibile!

Cordiali saluti, 
Il team di sviluppo"
hint_settings_iron_man,"Volontà ferrea
Se attivata, il gioco salverà i progressi solo all'uscita. Non sarà possibile salvare e caricare regolarmente.

Questa modalità, pur essendo spietata, consente di vivere il gioco in modo più intenso."
hint_settings_normal_peaceful,"Modalità pacifica
La difficoltà di gioco è ridotta e i vicini non ti disturberanno, a meno che non sia tu a intraprendere azioni aggressive.

Anche il numero di risorse iniziali è più alto.

<b>Consigliata a chi vuole sviluppare pacificamente il proprio insediamento e ai nuovi giocatori.</b>"
hint_settings_normal_start,"Modalità normale
Una modalità che consente un'esperienza equilibrata. La difficoltà di gioco aumenterà gradualmente durante i primi giorni dopo l'inizio della partita.

Nuove meccaniche e sfide saranno introdotte nel corso della partita, consentendoti di adattarti.

<b>Consigliata ai giocatori che hanno già familiarità con il gioco e vogliono giocarlo così come è stato concepito.</b>"
hint_settings_hardcore_start,"Ardua
<b>Nella modalità ardua</b>, tutte le sfide iniziano dal primo giorno e richiedono un'elevata concentrazione, abilità di multitasking e conoscenza del gioco.

Le risorse iniziali sono inoltre più limitate.

<b>Consigliata solo ai giocatori molto esperti!</b>"
hint_army_power,"Potenza dell'esercito
$ La potenza degli eserciti degli altri monarchi è calcolata come il valore totale dell'equipaggiamento dei combattenti.
$ La potenza del tuo esercito è calcolata dai vicini come il valore totale delle migliori armi e armature che i tuoi guerrieri possono utilizzare."
hint_desire,"Desideri
Di tanto in tanto, i personaggi sono travolti da vari desideri. Questi si dividono in <hint=hint_desire_obsession>ossessioni</hint> forti (come il desiderio di vendetta) e <hint=hint_desire_dream>sogni</hint> più leggeri.

<img=hint_desire></img>

$ Quando un personaggio è travolto da un'<hint=hint_desire_obsession>ossessione</hint>, soffrirà finché il desiderio non è esaudito. L'intensità dell'insoddisfazione crescerà e, in certi casi, il personaggio potrebbe decidere di esaudire il desiderio da sé.
$ I <hint=hint_desire_dream>sogni</hint> non preoccupano più di tanto un personaggio, ma esaudirli gli garantisce <hint=hint_tutorial_inspiration>ispirazione</hint>.
$ Esaudire i desideri darà al personaggio un forte pensiero positivo.
$ È possibile visualizzare i desideri nella prima scheda della finestra del personaggio."
hint_action,"Compiti del personaggio
Facendo clic sul pulsante di azione nel menu dell'edificio o del personaggio, puoi assegnare vari compiti ai nobili, che si impegneranno a portarli a termine non appena saranno disponibili. Questi compiti sono visualizzati come pulsanti sopra il loro menu.

Puoi costringerli a eseguire immediatamente il compito facendo clic sul pulsante del compito, ma questo li farà arrabbiare.

Un nobile non porterà a termine un compito se è <hint=hint_unhappy>infelice</hint>.

Puoi assegnare compiti anche <b>facendo clic con il pulsante destro del mouse</b> sugli edifici o sui personaggi per richiamare un menu contestuale."
hint_fleshwolf,"Lupo
Potente predatore e rappresentante della scarsa fauna di Norland.

Si considera che la forza del lupo sia pari a quella di un combattente con abilità Combattimento di livello {wolf_level} e armato di <hint=hint_resource_wooden_spear>lancia</hint>.

$ Abita le foreste ed evita gli spazi aperti. Può attaccare gli esseri umani. Impiega <hint=hint_bld_patrol_sign_day>pattuglie diurne</hint> per proteggere i popolani.
$ I nobili tradizionalmente li cacciano in coppia, usando solo armi da mischia come espressione di onore verso queste creature.
$ Può essere attaccato anche con squadre di guerrieri.
$ La carcassa di ogni lupo ucciso contiene della <hint=hint_resource_meat>carne</hint> commestibile."
hint_action_task_reward,"Ricompensa
Il personaggio riceverà una ricompensa dal monarca per il suo fedele servizio.

Monarca: {skill_name} livello {skill_level}

<b>Risultato:</b>
$ Pensiero <green>Ricompensa: {mind_modify}</green>
$ Lealtà: <green>{loyalty_modify}</green>

<b>Prezzo</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Effetto collaterale:</b>
Rapporto con il monarca: <green>{relations_modify}</green>"
hint_action_task_threat,"Minaccia
Il monarca minaccia conseguenze se il personaggio medita di tradire.

Monarca: {skill_name} livello {skill_level}

<b>Risultato:</b>
$ Lealtà: <green>{loyalty_modify}</green>

<b>Effetti collaterali</b>:
$ Pensiero negativo: <red>Sotto minaccia: {threat_moral_modify}</red>
$ C'è la possibilità che il personaggio attacchi il monarca."
hint_action_task_donate,"Richiesta di donazione
Il monarca chiede una donazione di diversi <hint=hint_resource_rune>anelli sacri</hint> come aiuto.

Monarca: {skill_name} livello {skill_level}

<b>Risultato:</b>
$ Pensiero <red>Dono obbligatorio: {mind_modify}</red>
$ Lealtà: <red>{loyalty_modify}</red>

<b>Il monarca riceve</b>:
$ {rings_rew_number} <hint=hint_resource_rune>anelli sacri</hint>"
hint_action_new_heir,"Nomina erede
Il monarca nominerà questo personaggio come suo erede.

<b>Risultato:</b>
$ {soul_uuid_1} diventerà l'erede.
$ L'erede precedente, {soul_uuid_2}, si svilirà e svilupperà risentimento verso il monarca e {soul_uuid_1}."
hint_action_new_king,"Cedi la corona
Il monarca consegnerà la corona a questo personaggio.

<b>Conseguenze:</b>
$ {soul_uuid_1} diventerà monarca. 
$ I rapporti tra il tuo monarca e il <hint=hint_bishop>vescovo</hint>, la Matriarca e i tuoi vicini ricominceranno da capo. 
$ Il monarca precedente {soul_uuid_2} si deprimerà e odierà {soul_uuid_1}."
hint_action_give_title_to_hired_free_lord,"Concedi un titolo a un nobile libero
Il monarca concederà un <hint=hint_title>titolo</hint> a {soul_uuid_1}, che diventa membro della famiglia a tutti gli effetti.

Sarà necessario pagare una tassa alla Famiglia benevola per garantire a {soul_uuid_1} i diritti sulla sua discendenza.

<b>Conseguenze:</b>
$ {soul_uuid_1} riceverà il titolo e si unirà a {faction_uuid}.
$ La spesa della tassa alla Famiglia benevola ammonterà a <hint=hint_resource_gold>{give_title_cost}</hint>.
$ Il numero di titoli disponibili diminuirà di 1."
hint_action_give_title_to_soldier,"Concedi un titolo a un guerriero
Il monarca conferisce un <hint=hint_title>titolo</hint> al guerriero senza terra {soul_uuid_1}, che diventa membro della famiglia a tutti gli effetti. Le abilità di un tale nobile saranno relativamente poche.

Per documentare la discendenza di {soul_uuid_1} sarà necessaria una tassa alla Famiglia benevola.

Gli altri nobili avranno un atteggiamento negativo nei suoi confronti non essendo di sangue blu dalla nascita.

<b>Conseguenze:</b>
$ {soul_uuid_1} riceverà il titolo e diventerà nobile di {faction_uuid} a tutti gli effetti.
$ Rapporto iniziale degli altri nobili: <red>{mind_modify}</red>
$ La spesa della tassa alla Famiglia benevola ammonterà a <hint=hint_resource_gold>{give_title_cost}</hint>.
$ Il numero di titoli disponibili diminuirà di 1."
hint_action_take_title,"Spoglia il nobile del titolo
Il monarca spoglierà il nobile {soul_uuid_1} del suo <hint=hint_title>titolo</hint>, facendolo diventare un <hint=hint_untitled_lord>nobile minore</hint>.

<b>Conseguenze:</b>
$ Il nobile ripudiato ricorderà questa umiliazione e svilupperà un pensiero negativo verso il monarca con una forza di <red>{der_thought}</red>.
$ Gli amici di questo nobile rimarranno turbati e penseranno male del monarca.
$ Il numero di titoli disponibili aumenterà di 1."
hint_action_task_dice,"Gioca a dadi
Gioca a dadi con un altro nobile.

L'esito del gioco è abbastanza casuale, ma è in gran parte influenzato dalla differenza dell'abilità <hint=hint_skill_knowledge>Intelligenza</hint> dei giocatori.

La puntata sarà di <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Gioca a dadi
Gioca a dadi con un altro nobile.

La puntata sarà di <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Intelligenza {number1}
$ {soul_uuid_2}: Intelligenza {number2}

La probabilità che {soul_uuid_1} vinca è pari a {ver}%."
hint_action_make_enemy,"Dichiara ostilità
Dichiara {soul_uuid_target} nemico del tuo monarca.

$ Il personaggio cercherà di fuggire dal regno il più velocemente possibile.
$ I tuoi nobili e guerrieri cercheranno di attaccare e uccidere questo personaggio (supponendo che sia armato).
$ Puoi anche attaccarlo con una <hint=hint_army>squadra da battaglia</hint> (fai clic con il pulsante destro del mouse sul bersaglio).
{additional_info_stack}"
hint_action_task_hunt,"Caccia
I personaggi si uniscono per dare la caccia a un <hint=hint_fleshwolf>lupo</hint>.

Si considera che la forza del lupo sia pari a quella di un combattente con l'abilità Combattimento di livello {wolf_level} e armato di <hint=hint_resource_wooden_spear>lancia</hint>.

$ In caso di successo, se il lupo viene sconfitto ed entrambi i cacciatori restano in vita, ricevono un <hint=hint_thought_social>pensiero sociale</hint> duraturo ""Hanno cacciato insieme""<green>{hunt_improve}</green>.
$ Inoltre, in caso di caccia riuscita, i partecipanti ottengono {exp_points} punti nell'<hint=hint_skill_combat>abilità Combattimento</hint> e nell'<hint=hint_skill_command>abilità Comando</hint>.
$ Se uno dei cacciatori perde lo scontro, entrambi ricevono un pensiero sociale negativo ""Capacità di caccia scarse"" <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Caccia
{soul_uuid_1}: <hint=hint_skill_combat>abilità Combattimento</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>abilità Combattimento</hint>: {skill_2}
{soul_2_equipment_stack}

La forza del lupo è pari a quella di un combattente con l'abilità Combattimento di livello {wolf_level} e armato di <hint=hint_resource_wooden_spear>lancia</hint>."
hint_action_task_together,"Trascorri del tempo con qualcuno
I personaggi trascorrono del tempo insieme; camminano, pregano, suonano e così via.

Durante questo tempo, ci saranno sicuramente 2 <hint=hint_conversation>conversazioni profonde</hint>, non necessariamente buone.

La probabilità di avere una buona conversazione dipende dal <hint=hint_mood>morale</hint> dei personaggi, e la forza dei pensieri risultanti da questa conversazione dipende dall'abilità <hint=hint_skill_manners>Maniere</hint>."
hint_action_task_hunt_unavailable,"Non disponibile
Il vescovo non è disponibile per la caccia."
hint_action_task_hunt_by_no_wolf,"Non disponibile
Non ci sono lupi disponibili per la caccia nella foresta."
