Key,Japanese
hint_test_inline_image,
hint_settings_language_change_error,"利用不可
言語の変更はメインメニューからしかできません。"
hint_changelog_patchnotes,"~
『Norland』の早期アクセスへようこそ！

ゲームは急速に進化しており、新しい仕組みが次々と追加されています。それに伴い、バグや他のやっかいな問題が発生することがあります。

どうかご了承ください。ゲームプレイ中に発生した諸問題に関しましては、フォーラム、メール、またはDiscordを通じてお知らせください。可能な限り迅速に対応し、問題を解決するよう努めます！

よろしくお願いいたします。 
開発チーム"
hint_settings_iron_man,"アイアンウィル
有効にすると、ゲーム終了時にのみゲームの進行状況をセーブすることになり、常時セーブ＆ロードできなくなることにご注意ください。

このモードでは、難易度は上がりますが、より物語への没入感を味わいつつゲームを体験することができます。"
hint_settings_normal_peaceful,"平和モード
ゲームの難易度は下がり、自分から攻撃的なアクションを起こさない限り、隣人があなたを悩ますことはありません。

ゲーム開始時の資源の数も増えます。

<b>集落を平和的に発展させたい人や、新規プレイヤーにお勧めです。</b>"
hint_settings_normal_start,"ノーマルモード
バランスよくゲームを体験できるモード。ゲームを始めてから数日が経過すると、ゲームの難易度が徐々に上がっていきます。

新しいメカニズムやチャレンジはゲームを進めていく中で導入されるため、自然と適応することができます。

<b>すでにこのゲームに慣れ親しんでいて、意図されたとおりにプレイしたいプレイヤーにお勧め。</b>"
hint_settings_hardcore_start,"ハードコア
<b>ハードコアモードでは</b>、すべてのチャレンジは初日から始まり、高い集中力、マルチタスク能力、そしてゲームに関する知識が要求されます。

ゲーム開始時の資源の数も限られています。

<b>超熟練プレイヤーのみ、このモードでプレイすることをお勧めします。</b>"
hint_army_power,"軍隊の強さ
$他の王の軍隊の強さは、戦士の装備の合計値として計算されます。
$ あなたの軍隊の強さは、あなたの戦士が身につけることができる最高の武器と防具の合計値として近隣諸国によって計算されます。"
hint_desire,"欲望
時折、登場人物は様々な欲望に駆られます。これらは、<hint=hint_desire_obsession>強い執着</hint>（復讐願望など）と比較的軽い<hint=hint_desire_dream>夢</hint>に分類されます。

<img=hint_desire></img>

$ キャラクターが<hint=hint_desire_obsession>執着</hint>に支配されると、欲望が満たされるまで大きな苦しみを味わうことになります。不満の強さは増していき、場合によっては、そのキャラクターが自分で欲望を叶えようと決心することもあります。
$ <hint=hint_desire_dream>夢</hint>の場合、キャラクターはそれほど悩まされることはありませんが、夢が叶うと<hint=hint_tutorial_inspiration>インスピレーション</hint>を受けます。
$ 欲望を満たすことは、そのキャラクターに常に強いポジティブな思考を与えます。
$ 欲望はキャラクターウィンドウの最初のタブに表示されます。"
hint_action,"キャラクターの任務
建物やキャラクターメニューのアクションボタンをクリックすると、領主にさまざまな任務を割り当てることができ、任務を開始できるようになると、領主は任務を完了しようと懸命に努力します。これらの任務はメニューの上にボタンとして表示されます。

任務ボタンをクリックすることで、すぐに任務に取り掛からせることができますが、それは領主の気分を害することになります。

領主に<hint=hint_unhappy>不満</hint>があると、任務に行いません。

建物かキャラクターを<b>右クリック</b>してコンテキストメニューを表示することでも、領主に任務を割り当てられます。"
