Key,Korean
hint_test_inline_image,
hint_settings_language_change_error,"사용 불가
언어는 메인 메뉴를 통해서만 변경할 수 있습니다."
hint_changelog_patchnotes,"~
Norland의 앞서 해보기에 오신 것을 환영합니다!

이 게임은 빠르게 발전하고 있으며, 새로운 메커니즘이 지속적으로 추가되고 있습니다. 그 과정에서 버그나 기타 불편한 문제들이 발생할 수 있습니다.

너그러운 양해를 부탁드리며, 게임 플레이 중 불편을 겪으셨다면 포럼, 이메일, 또는 Discord를 통해 알려주세요. 최대한 신속히 문제를 해결하기 위해 노력하겠습니다!

감사합니다. 
개발팀 드림"
hint_settings_iron_man,"철의 의지
활성화 시 게임을 종료할 때만 진행 내역을 저장합니다. 정기적으로 저장 및 불러오기를 할 수 없게 되니 유의하세요.

이 모드를 사용하면 실수를 돌이킬 수 없지만, 더욱 감정을 이입하며 게임을 경험할 수 있습니다."
hint_settings_normal_peaceful,"평화 모드
게임의 난이도가 감소하며 본인이 먼저 공격적인 행동을 취하지 않는 이상 이웃이 플레이어를 건드리지 않습니다.

시작 자원의 수량도 늘어납니다.

<b>평화롭게 정착지를 발전시키려는 플레이어나 신규 플레이어에게 추천합니다.</b>"
hint_settings_normal_start,"일반 모드
균형 잡힌 플레이를 경험할 수 있습니다. 게임 시작 후 며칠에 걸쳐 게임의 난이도가 점점 어려워집니다.

게임이 진행되면서 조금씩 새로운 메커니즘과 도전 과제가 도입되기에 이에 적응해 나갈 수 있습니다.

<b>이미 게임에 익숙하며 개발진의 원래 의도대로 즐겨보려는 플레이어에게 추천합니다.</b>"
hint_settings_hardcore_start,"하드코어
<b>하드코어 모드</b>에서는 모든 도전 과제가 첫날부터 시작되므로, 높은 집중력과 멀티태스킹 능력, 그리고 게임에 대한 지식이 요구됩니다.

초기 자원도 더욱 제한된 상태로 제공됩니다.

<b>매우 능숙한 플레이어만 시도하시길 바랍니다!</b>"
hint_army_power,"군대 전투력
$ 다른 왕의 군대 전투력은 해당하는 전투원의 장비 가치의 총합으로 계산됩니다.
$ 군대 전투력은 전사들이 착용할 수 있는 최고의 무기와 방어구 가치의 총합으로, 이웃에 의해 계산됩니다."
hint_desire,"욕망
때때로 캐릭터는 갖가지 욕망에 사로잡히게 됩니다. 이는 강한 <hint=hint_desire_obsession>강박</hint>(복수 욕망 등)과 가벼운 <hint=hint_desire_dream>꿈</hint>으로 나뉩니다.

<img=hint_desire></img>

$ 캐릭터가 <hint=hint_desire_obsession>강박</hint>에 사로잡히면 그 욕망이 충족되기 전까지 크게 고통받게 됩니다. 불만족의 강도는 계속 커지며 일부 경우에는 캐릭터 스스로 욕망을 충족시키려 할 수도 있습니다.
$ <hint=hint_desire_dream>꿈</hint>은 상대적으로 캐릭터를 괴롭히지 않으며 욕망 충족 시 <hint=hint_tutorial_inspiration>영감</hint>을 얻게 됩니다.
$ 캐릭터가 욕망을 충족하면 언제나 강한 긍정적 생각을 얻게 됩니다.
$ 욕망은 캐릭터 창의 첫 번째 탭에 표시됩니다."
hint_action,"캐릭터 임무
캐릭터 메뉴 또는 건물의 행동 버튼을 클릭하여 자신의 영주에게 다양한 임무을 배정할 수 있습니다. 임무가 배정된 영주는 가능한 경우 이를 성취하기 위해 노력합니다. 이러한 임무는 해당 메뉴 위에 버튼으로 표시됩니다.

임무 버튼을 클릭하여 해당 임무를 즉시 수행하도록 강제할 수 있지만, 이 경우 영주의 기분을 상하게 합니다.

영주는 <hint=hint_unhappy>불행</hint>한 상태인 경우 임무를 수행하지 않습니다.

캐릭터 또는 건물을 <b>우클릭</b>하고 해당 메뉴를 띄워 임무를 배정할 수도 있습니다."
hint_fleshwolf,"살육늑대
놀랜드에 드문 동물군을 대표하는 강력한 포식자입니다.

살육늑대는 <hint=hint_resource_wooden_spear>창</hint>으로 무장한 전투 스킬 {wolf_level}의 전투원과 동등한 힘을 가진 것으로 간주됩니다.

$ 숲에 서식하며 탁 트인 공간을 기피합니다. 인간을 공격할 수 있습니다. <hint=hint_bld_patrol_sign_day>주간 순찰</hint>을 사용하여 농민을 보호하세요.
$ 영주들은 전통적으로 짝을 지어 근접 무기만으로 이들을 사냥했으며, 이는 이 생명체에 대한 명예의 표현이었습니다.
$ 전사 분대로도 공격할 수 있습니다. 살육늑대는 전투에서 단검으로 무장한 5레벨 전사만큼 위험한 존재로 여겨집니다.
$ 처치한 살육늑대의 사체에는 먹을 수 있는 <hint=hint_resource_meat>고기</hint>가 포함되어 있습니다."
hint_action_task_reward,"보상
캐릭터는 왕으로부터 충실한 인력 제공에 대한 보상을 받습니다.

왕: {skill_name} 레벨 {skill_level}

<b>결과:</b>
$ 생각 <green>보상 제공: {mind_modify}</green>
 충성도: <green>{loyalty_modify}</green>

$<b>비용</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>부작용:</b>
왕과의 관계: <green>{relations_modify}</green>"
hint_action_task_threat,"위협
캐릭터가 배신을 고려하는 경우 왕이 그 결과에 대해 위협합니다.

왕: {skill_name} 레벨 {skill_level}

<b>결과</b>
$ 충성도: <green>{loyalty_modify}</green>

<b>부작용</b>:
$부정적 생각: <red>위협에 노출됨: {threat_moral_modify}</red>
$ 캐릭터가 일정 확률로 왕을 공격합니다."
hint_action_task_donate,"기부 요청
통치자가 원조를 위해 <hint=hint_resource_rune>신성 반지</hint> 몇 개를 기부해 달라고 요청합니다.

통치자: {skill_name} 레벨 {skill_level}

<b>결과</b>
$ 생각 <red>강제 기부: {mind_modify}</red>
$ 충성도: <red>{loyalty_modify}</red>

<b>통치자가 받는 물품</b>:
$ {rings_rew_number} <hint=hint_resource_rune>신성 반지</hint>"
hint_action_new_heir,"후계자로 임명
왕이 이 캐릭터를 자신의 후계자로 선포합니다.

<b>결과:</b>
$ {soul_uuid_1}(이)가 후계자가 됩니다.
$ 이전 후계자인 {soul_uuid_2}(이)가 모멸감을 느끼고 왕과 {soul_uuid_1}에게 분노를 품습니다."
hint_action_new_king,"왕위 계승
왕이 이 캐릭터에게 왕위를 넘겨줍니다.

<b>결과:</b>
$ {soul_uuid_1}(이)가 군주가 됩니다. 
$ 플레이어의 왕과 <hint=hint_bishop>주교</hint>, 총대주교, 이웃 간의 관계가 새롭게 시작됩니다. 
{soul_uuid_1}$ 이전 군주인 {soul_uuid_2}(이)가 우울해하며 (을)를 증오합니다."
hint_action_give_title_to_hired_free_lord,"자유 영주에게 작위 수여
왕이 {soul_uuid_1}에게 <hint=hint_title>작위</hint>를 수여하여 가문의 정식 일원으로 받아들입니다.

{soul_uuid_1}의 혈통에 대한 권리를 확보하려면 사랑의 가족에 세금을 내야 합니다.

<b>결과</b>
$ {soul_uuid_1}(이)가 작위를 받고 {faction_uuid}에 들어옵니다.
$ 사랑의 가족에 낼 세금으로 <hint=hint_resource_gold>{give_title_cost}</hint>를 소모합니다.
$ 사용할 수 있는 작위가 1개 줄어듭니다."
hint_action_give_title_to_soldier,"전사에게 작위 수여
왕이 영지가 없는 전사, {soul_uuid_1}에게 <hint=hint_title>작위</hint>를 수여하여 가문의 정식 일원으로 받아들입니다. 이러한 영주의 스킬은 상대적으로 낮습니다.

{soul_uuid_1}의 혈통에 대한 문서를 준비하려면 사랑의 가족에 세금을 내야 합니다.

출생 신분이 낮은 탓에 다른 영주들이 부정적인 태도를 갖습니다.

<b>결과</b>
$ {soul_uuid_1}(이)가 작위를 받고 {faction_uuid}의 정식 영주가 됩니다.
$ 다른 영주의 초기 태도: <red>{mind_modify}</red>
$ 사랑의 가족에 낼 세금으로 <hint=hint_resource_gold>{give_title_cost}</hint>를 소모합니다.
$ 사용할 수 있는 작위가 1개 줄어듭니다."
hint_action_take_title,"영주의 작위 박탈
왕이 영주 {soul_uuid_1}의 <hint=hint_title>작위</hint>를 박탈하여 <hint=hint_untitled_lord>소영주</hint>로 만듭니다.

<b>결과</b>
$ 퇴출당한 영주가 이 굴욕을 기억하며 <red>{der_thought}</red> 강도로 왕에 대한 부정적 생각을 키워나갑니다.
$ 해당 영주의 친구가 분노하여 왕에 태도가 악화됩니다.
$ 사용할 수 있는 작위가 1개 늘어납니다."
