Key,Polska
hint_test_inline_image,
hint_settings_language_change_error,"Niedostępne
Zmiana języka jest możliwa tylko w menu głównym."
hint_changelog_patchnotes,
hint_settings_iron_man,"Żelazna wola
Ta opcja sprawia, że postępy będą zapisywane tylko podczas wychodzenia z gry. Pamiętaj, że regularne zapisywanie i wczytywanie gry nie będzie możliwe.

Ten tryb jest bezlitosny, ale zapewnia więcej emocji."
hint_settings_normal_peaceful,"Tryb pokojowy
Poziom trudności jest niższy, a sąsiedzi nie będą przejawiać agresywnych zakusów, dopóki nie zostaną sprowokowani.

Zwiększona zostaje także liczba zasobów początkowych.

<b>Zalecane dla nowych graczy oraz osób, które chcą w spokoju rozwijać swoje miasto.</b>"
hint_settings_normal_start,"Tryb normalny
Tryb zapewniający zrównoważoną rozgrywkę. Poziom trudności będzie się stopniowo zwiększać podczas pierwszych dni od rozpoczęcia gry.

W trakcie gry nowe mechaniki i wyzwania będą wprowadzane stopniowo, żeby gracz mógł się do nich przystosować.

<b>Zalecane dla graczy, którzy są już zaznajomieni z rozgrywką, oraz osób, które chcą grać w sposób zamierzony przez twórców.</b>"
hint_settings_hardcore_start,"Tryb ekstremalny
W <b>trybie ekstremalnym</b> wszystkie wyzwania pojawiają się już od pierwszego dnia, co wymaga dużego skupienia, radzenia sobie z wieloma problemami naraz i dużej wiedzy o grze.

Początkowe zasoby są ograniczone.

<b>Zalecane wyłącznie dla bardzo doświadczonych graczy!</b>"
hint_army_power,"Siła armii
$ Siła armii innych władców jest obliczana w oparciu o łączną wartość wyposażenia wszystkich wojowników.
$ Siła twojej armii jest obliczana przez sąsiadów w oparciu o łączną wartość najlepszego oręża i opancerzenia, jakie mogą wykorzystać twoi wojownicy."
hint_desire,"Pragnienia
Od czasu do czasu postacie odczuwają różne pragnienia. Te dzielą się na silne <hint=hint_desire_obsession>obsesje</hint> (np. pragnienie zemsty) lub mniej intensywne <hint=hint_desire_dream>marzenia</hint>.

<img=hint_desire></img>

$ Kiedy postać zostaje ogarnięta <hint=hint_desire_obsession>obsesją</hint>, odczuwa cierpienie, dopóki pragnienie nie zostanie spełnione. Niezadowolenie będzie się nasilało, a w niektórych przypadkach postać może zdecydować się na samodzielną realizację pragnienia.
$ <hint=hint_desire_dream>Marzenia</hint> nie są tak uciążliwe dla postaci, ale ich realizacja zapewnia <hint=hint_tutorial_inspiration>inspirację</hint>.
$ Realizacja pragnień zawsze zapewnia postaci silną pozytywną myśl.
$ Pragnienia wyświetlone są w pierwszej zakładce menu postaci."
hint_action,"Zadania postaci
Gdy klikniesz przycisk działań w menu budynku lub postaci, możesz przydzielić lordom różne zadania, które będą próbowali wypełnić. Zadania będzie można wybrać z wyświetlonej listy.

Możesz zmusić kogoś do natychmiastowego wykonania zadania, klikając przycisk zadania, ale wykonawca zrobi to niechętnie.

Lord nie będzie wykonywać swoich zadań, gdy jest <hint=hint_unhappy>nieszczęśliwy</hint>.

Zadania można także przydzielać w menu kontekstowym, klikając <b>PPM</b> budynek lub postacie."
hint_fleshwolf,"Żerwilki
Potężne drapieżniki i przedstawiciele nielicznej fauny Norlandu.

Uznaje się, że mają siłę wojownika o umiejętnościach bojowych {wolf_level}, wyposażonego we <hint=hint_resource_wooden_spear>włócznię</hint>.

$ Zamieszkują lasy i unikają otwartego terenu. Mogą atakować ludzi, więc użyj <hint=hint_bld_patrol_sign_day>patroli dziennych</hint>, żeby chronić swoich chłopów.
$ Zgodnie z tradycją lordowie polują na nie w parach, używając jedynie broni białej, żeby okazać tym stworzeniom należny szacunek.
$ Można je także atakować całymi oddziałami wojowników.
$ Truchła zabitych żerwilków zawierają nieco jadalnego <hint=hint_resource_meat>mięsa</hint>."
hint_action_task_reward,"Nagroda
Postać otrzyma od króla nagrodę za oddaną służbę.

Król: {skill_name} poz. {skill_level}

<b>Efekt:</b>
$ Myśl <green>Nagrodzony: {mind_modify}</green>
$ Lojalność: <green>{loyalty_modify}</green>

<b>Cena:</b>
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Efekt uboczny:</b>
Stosunki z królem: <green>{relations_modify}</green>"
hint_action_task_threat,"Groźba
Król grozi poważnymi konsekwencjami, jeśli postać dopuści się zdrady.

Król: {skill_name} poz. {skill_level}

<b>Efekt:</b>
$ Lojalność: <green>{loyalty_modify}</green>

<b>Efekt uboczny:</b>
$ Negatywna myśl: <red>Poddano groźbie: {threat_moral_modify}</red>
$ Występuje ryzyko, że ta osoba zaatakuje króla."
hint_action_task_donate,"Prośba o datek
Władca prosi o datek w postaci kilku <hint=hint_resource_rune>świętych pierścieni</hint>.

Władca: {skill_name} poz. {skill_level}

<b>Efekt:</b>
$ Myśl <red>Wymuszony datek: {mind_modify}</red>
$ Lojalność: <red>{loyalty_modify}</red>

<b>Władca otrzymuje</b>:
$ <hint=hint_resource_rune>Święte pierścienie</hint>: {rings_rew_number}"
hint_action_new_heir,"Mianuj spadkobiercą
Król ogłosi, że ta osoba zostanie następcą tronu.

<b>Efekt:</b>
$ {soul_uuid_1} zostanie spadkobiercą.
$ Wcześniejszy spadkobierca, {soul_uuid_2}, poczuje się zlekceważony i zacznie żywić urazę do króla oraz nowego spadkobiercy ({soul_uuid_1})."
hint_action_new_king,"Przekaż koronę
Król odda władzę tej postaci.

<b>Efekt:</b>
$ {soul_uuid_1} przejmie władzę.
$ Stosunki między królem, <hint=hint_bishop>biskupem</hint>, Matroną i sąsiadami rozpoczną się od nowa.
$ Stary król {soul_uuid_2} popadnie w depresję i zacznie nienawidzić nowego władcy ({soul_uuid_1})."
hint_action_give_title_to_hired_free_lord,"Przyznaj tytuł wolnemu lordowi
Król nada <hint=hint_title>tytuł</hint> postaci {soul_uuid_1}, co zmieni ją w pełnoprawnego członka rodziny.

Aby zabezpieczyć prawa tej osoby do rodowodu, należy uiścić podatek Kochającemu Rodowi.

<b>Efekt:</b>
$ {soul_uuid_1} otrzyma tytuł i dołączy do rodziny {faction_uuid}.
$ <hint=hint_resource_gold>{give_title_cost}</hint> zostanie przekazane Kochającemu Rodowi w ramach podatku.
$ Liczba dostępnych tytułów zmniejszy się o 1."
hint_action_give_title_to_soldier,"Przyznaj tytuł wojownikowi
Król nada <hint=hint_title>tytuł</hint> wojownikowi bez ziemi, co sprawi, że {soul_uuid_1} stanie się pełnoprawnym członkiem rodziny. Umiejętności takiego lorda będą relatywnie niskie.

Aby uzyskać dokumentację rodowodu ({soul_uuid_1}), należy uiścić podatek Kochającemu Rodowi.

Inni lordowie będą mieć wobec tej postaci negatywny stosunek z powodu niskiego urodzenia.

<b>Efekt:</b>
$ {soul_uuid_1} otrzyma tytuł i dołączy do rodziny {faction_uuid}.
$ Początkowy stosunek innych lordów: <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> zostanie przekazane Kochającemu Rodowi w ramach podatku.
$ Liczba dostępnych tytułów zmniejszy się o 1."
hint_action_take_title,"Pozbaw lorda tytułu
Król pozbawi lorda {soul_uuid_1} <hint=hint_title>tytułu</hint>. Lordowie bez tytułu mają status <hint=hint_untitled_lord>szlachty niższej</hint>.

<b>Efekt:</b>
$ Wydziedziczony lord zapamięta to upokorzenie i będzie mieć do króla negatywny stosunek o sile <red>{der_thought}</red>.
$ Przyjaciele tego lorda będą niezadowoleni, a ich opinia o królu się pogorszy.
$ Liczba dostępnych tytułów zwiększy się o 1."
hint_action_task_dice,"Graj w kości
Zagraj w kości z innym lordem.

Wynik rozgrywki jest dość losowy, ale wpływa na niego różnica w <hint=hint_skill_knowledge>inteligencji</hint> graczy.

Stawką gry będzie <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Graj w kości
Zagraj w kości z innym lordem.

Stawką gry będzie <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: Inteligencja {number1}
$ {soul_uuid_2}: Inteligencja {number2}

{soul_uuid_1} ma {ver}% szansy na zwycięstwo."
hint_action_make_enemy,"Ogłoś wrogiem
Ogłosisz, że {soul_uuid_target} jest wrogiem twojego króla.

$ Postać postara się niezwłocznie opuścić twoje królestwo.
$ Twoi lordowie i wojownicy spróbują zaatakować i zabić tę osobę (jeśli są uzbrojeni).
$ Możesz także zaatakować tę postać <hint=hint_army>oddziałem</hint> (kliknij cel PPM).
{additional_info_stack}"
hint_action_task_hunt,"Polowanie
Postacie polują wspólnie na <hint=hint_fleshwolf>żerwilka</hint>.

Uznawane jest, że żerwilk równa się siłą wojownikowi z poziomem umiejętności {wolf_level} uzbrojonym we <hint=hint_resource_wooden_spear>włócznię</hint>.

$ W przypadku sukcesu i pokonania żerwilka, gdy obaj łowczy stoją na nogach, otrzymują długotrwałą <hint=hint_thought_social>myśl</hint> „Wspólne polowanie” <green>{hunt_improve}</green>.
$ Co więcej, w przypadku udanych łowów uczestnicy otrzymują {exp_points} pkt. w <hint=hint_skill_combat>umiejętnościach bojowych</hint> i <hint=hint_skill_command>umiejętności dowodzenia</hint>.
$ Jeśli którykolwiek z łowczych przegra walkę, obaj otrzymują negatywną myśl „Kiepski myśliwy” <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Polowanie
{soul_uuid_1}: <hint=hint_skill_combat>Umiejętności bojowe</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: <hint=hint_skill_combat>Umiejętności bojowe</hint>: {skill_2}
{soul_2_equipment_stack}

Żerwilk równa się siłą wojownikowi z poziomem umiejętności {wolf_level} uzbrojonym we <hint=hint_resource_wooden_spear>włócznię</hint>."
hint_action_task_together,"Wspólne spędzenie czasu
Postacie spędzą wspólnie czas. Będą spacerować, modlić się, grać muzykę i tak dalej.

W tym czas odbędą 2 <hint=hint_conversation>głębokie rozmowy</hint> (niekoniecznie przyjemne).

Szansa na pozytywną głęboką rozmowę zależy od <hint=hint_mood>nastroju</hint> uczestników, a siła myśli wynikających z tej rozmowy zależy od <hint=hint_skill_manners>manier</hint>."
hint_action_task_hunt_unavailable,"Niedostępne
Biskup nie chadza na polowania."
hint_action_task_hunt_by_no_wolf,"Niedostępne
Żerwilki nie występują w pobliskim lesie."
hint_action_task_together_new_context,"Wspólne spędzanie czasu
$ {soul_uuid_1}: Nastrój {mood_stack_1}, <hint=hint_skill_manners>maniery:</hint> {skill_level_1}
$ {soul_uuid_2}: Nastrój {mood_stack_2}, <hint=hint_skill_manners>maniery:</hint> {skill_level_2}

<b>Efekt:</b>
{soul_uuid_1} pomyśli o ${soul_uuid_2}:
{deep_social_stack_1}
Nastrój: {moral_change_1}

{soul_uuid_2} pomyśli o ${soul_uuid_1}:
{deep_social_stack_2}
Nastrój: {moral_change_2}"
hint_child_sub_context,"~
Ta postać jest rodzicem, więc interakcja okaże potomstwu troskę i zaspokoi u dziecka potrzebę <hint=hint_need_care>opieki</hint>."
hint_marriage_local,"Ślub
Nie śmiąc sprzeciwić się woli władcy, dwoje lordów zawrze legalny <hint=hint_marriage>związek małżeński</hint>.

Zakazane są małżeństwa między rodzicami i dziećmi oraz między rodzeństwem."
hint_marriage_local_context,"Ślub
{soul_uuid_1} i {soul_uuid_2} zawrą małżeństwo."
hint_action_task_lesson,"~
$ Dziecko, które dorosło i nauczyło się czytać, będzie też uzyskiwać <hint=hint_idea>wiedzę</hint> nauczyciela.
$ Uczeń zyskuje więcej doświadczenia w umiejętnościach, do których ma <hint=hint_talant>talent</hint>.
$ To działanie będzie wykonywane codziennie."
hint_action_task_lesson_context,"Naucz się
Ten nauczyciel będzie rozwijać umiejętności ucznia:
$ {skill_name} do poz. {skill_level_cup}
$ {skill_name_2} do poz. {skill_level_cup_2}

Skuteczność szkolenia:
$ Nauczyciel ma umiejętność <hint=hint_skill_teaching>szkolenie</hint>: {skill_level_3}
$ Może przekazać {exp} PD za każdą lekcję

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Nauczanie ogólne
Nauczyciel będzie uczyć wszystkich zdolności, najpierw skupiając się na talentach ucznia, a następnie rozwijając resztę umiejętności."
hint_action_task_lesson_guest,"~
Ta postać jest gościem, więc lekcja będzie kosztować <hint=hint_resource_rune>{price}</hint>.

Opłatę uiści król."
hint_action_task_lesson_change_culture,"~
Ta postać należy do kultury {culture}, więc istnieje szansa, że uczeń także do niej dołączy."
hint_action_task_lesson_guest_no_money,"Zbyt mało pierścieni
Ta postać jest twoim gościem, więc lekcja kosztuje <hint=hint_resource_rune>{price}</hint>.

Masz zbyt mało świętych pierścieni, żeby zapłacić za lekcję."
hint_action_task_lesson_bishop_low_opinion,"Kiepskie stosunki
Ma kiepskie stosunki z twoim królem.

Popraw stosunki z twoim królem do <green>{option_req}</green>."
hint_duel,"Pojedynek
Postacie spróbują rozwiązać swoje nieporozumienia poprzez oficjalny pojedynek.

$ Usuwa u pojedynkowiczów <hint=hint_desire>pragnienie</hint> zemsty lub śmierci wroga.
$ Pojedynek będzie trwać, aż któryś z członków nie straci przytomności, ale możliwa jest też śmierć.
$ Im więcej bólu pojedynkowicz zada przeciwnikowi, tym łatwiej będzie zaspokoić swoje pragnienie.
$ Pojedynek to honorowy sposób na rozwiązywanie konfliktów, więc nawet jeśli w pojedynku zabijesz <hint=hint_bishop>biskupa</hint>, nie wzbudzi to wściekłości Matrony."
hint_duel_provoke,"Prowokacja
Gość z sąsiedniej prowincji sprowokował twojego lorda do pojedynku, który odbędzie się wieczorem.

Jeśli obawiasz się o wynik starcia, możesz wcześniej wygnać tego gościa ze swojej prowincji. Twój lord uniknie zagrożenia, ale pogorszy to stosunki z tym gościem oraz z jego królem."
hint_duel_context,"Pojedynek
{soul_uuid_1}: <hint=hint_skill_combat>Umiejętności bojowe</hint>: {skill_1}
{soul_1_equipment_stack}

vs

{soul_uuid_2}: <hint=hint_skill_combat>Umiejętności bojowe</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Nieodpowiednia postać
Lord musi być <hint=hint_enemy>wrogiem</hint> postaci {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Uczony
Uczonych nie można szkolić."
