Key,PortugueseBrazilian
hint_test_inline_image,
hint_settings_language_change_error,"Indisponível
Só é possível alterar o idioma do jogo no menu principal."
hint_changelog_patchnotes,"~
Boas-vindas ao acesso antecipado de Norland!

Nosso jogo está em rápida evolução e estamos constantemente acrescentando novas mecânicas, o que também acaba provocando o surgimento de bugs ou outras pequenas inconveniências.

Pedimos sua compreensão e que você entre em contato conosco através do fórum, do nosso email ou do servidor do Discord caso passe por alguma experiência desagradável de jogabilidade - tentaremos consertar o problema o mais rápido possível!

Atenciosamente,
Equipe dos desenvolvedores."
hint_settings_iron_man,"Determinação de ferro
Quando este modo estiver ativado, o jogo só salvará seu progresso ao sair. Atenção, pois isso significa que você não poderá salvar e carregar como de costume.

Este modo é bastante impiedoso, mas permite que você tenha uma experiência mais narrativa."
hint_settings_normal_peaceful,"Modo pacífico
A dificuldade do jogo é reduzida e os vizinhos não lhe perturbarão a menos que você realize ações agressivas por conta própria.

A quantidade de recurso iniciais também é maior.

<b>Modo recomendado para quem deseja desenvolver sua cidade de maneira pacífica e para novos jogadores.</b>"
hint_settings_normal_start,"Modo normal
Um modo que oferece uma experiência equilibrada. A dificuldade do jogo aumentará gradualmente durante os primeiros dias após o início do jogo.

Novas mecânicas e desafios serão apresentados ao longo do jogo, dando tempo para que você se adapte.

<b>Modo recomendado para jogadores que já conhecem o jogo e desejam jogar a experiência pretendida.</b>"
hint_settings_hardcore_start,"Modo extremo
No modo extremo, todos os desafios começam desde o primeiro dia, o que exigirá um alto nível de concentração, gerenciamento de habilidades e conhecimento sobre o jogo.

Os recursos iniciais são mais limitados.

<b>Modo recomendado apenas para jogadores já experientes!</b>"
hint_army_power,"Força do exército
$ A força dos exércitos de outros reis é calculada pelo valor total do equipamento dos guerreiros.
$ A força do seu exército é calculada pelos vizinhos como o valor total das melhores armas e armaduras que seus guerreiros possam usar."
hint_desire,"Desejos
De vez em quando, os personagens são tomados por desejos diversos. Eles são divididos em desejos mais fortes, as <hint=hint_desire_obsession>Obsessões</hint>, e desejos mais leves, os <hint=hint_desire_dream>Sonhos</hint>.

<img=hint_desire></img>

$ Quando um personagem está tomado por uma <hint=hint_desire_obsession>Obsessão</hint>, ele sofrerá muito até que o desejo seja atendido. A intensidade da insatisfação só irá crescer e, em alguns casos, o personagem pode decidir realizar o desejo por conta própria.
$ Os <hint=hint_desire_dream>Sonhos</hint> não incomodam tanto os personagens, mas realizá-los lhes dá <hint=hint_tutorial_inspiration>Inspiração</hint>.
$ Realizar desejos sempre dará um pensamento positivo forte ao personagem.
$ Os desejos são exibidos na primeira aba da janela dos personagens."
hint_action,"Tarefas de personagens
Ao clicar no botão de Ação no menu de edifícios ou de personagens, você pode atribuir tarefas diversas a seus nobres, as quais eles tentarão realizar assim que estiverem disponíveis. As tarefas são exibidas como botões sobre os menus dos personagens.

Você pode forçá-los a realizar uma tarefa imediatamente ao clicar no botão da tarefa, mas eles ficarão aborrecidos.

Um nobre não realizará uma tarefa se estiver <hint=hint_unhappy>Infeliz</hint>.

Você também pode atribuir tarefas ao <b>clicar com o Botão Direito</b> em edifícios ou personagens para abrir um menu de contexto."
hint_fleshwolf,"Lobo-sangrento
Um poderoso predador e um representante da pouca fauna da Norlândia.

Considera-se que um lobo-sangrento tem a força equivalente a um guerreiro com habilidade de combate nv. {wolf_level} armado com uma <hint=hint_resource_wooden_spear>Lança</hint>.

$ Eles habitam as florestas para evitar espaços abertos e podem atacar humanos. Use <hint=hint_bld_patrol_sign_day>Patrulhas Diurnas</hint> para proteger os camponeses.
$ Os nobres normalmente os caçam em pares, usando apenas armas corpo a corpo como uma expressão de admiração a essas criaturas.
$ Eles também podem ser atacados com esquadrões de guerreiros.
$ A carcaça de cada animal morto contém um pouco de <hint=hint_resource_meat>Carne</hint> que pode ser consumida."
hint_action_task_reward,"Recompensa
O personagem receberá uma recompensa do rei por seus leais serviços.

Rei: habilidade de {skill_name} nv. {skill_level}

<b>Como resultado:</b>
$ Pensamento <green>gratificado: {mind_modify}</green>
$ Lealdade: <green>{loyalty_modify}</green>

<b>Preço</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Efeitos colaterais:</b>
Relação com o rei: <green>{relations_modify}</green>"
hint_action_task_threat,"Ameaça
O rei ameaça com consequências se o personagem pensar em traição.

Rei: habilidade de {skill_name} nv. {skill_level}

<b>Como resultado:</b>
$ Lealdade: <green>{loyalty_modify}</green>

<b>Efeitos colaterais:</b>
$ Pensamento negativo: <red>Vítima de ameaças: {threat_moral_modify}</red>
$ Há uma chance do personagem atacar o rei."
hint_action_task_donate,"Pedido de doação
O rei pede uma doação de vários <hint=hint_resource_rune>Anéis Sagrados</hint> como ajuda.

Rei: habilidade de {skill_name} nv. {skill_level}

<b>Como resultado:</b>
$ Pensamento: <red>""forçado a doar"": {mind_modify}</red>
$ Lealdade: <red>{loyalty_modify}</red>

<b>O rei recebe:</b>
$ {rings_rew_number} <hint=hint_resource_rune>Anéis Sagrados</hint>"
hint_action_new_heir,"Nomear como herdeiro
O rei nomeará este personagem como herdeiro.

<b>Como resultado:</b>
$ {soul_uuid_1} se tornará o herdeiro.
$ O antigo herdeiro, {soul_uuid_2}, se sentirá sabotado e criará um ressentimento contra o rei e {soul_uuid_1}."
hint_action_new_king,"Passar a coroa
O rei passará a coroa para este personagem.

<b>Consequências:</b>
$ {soul_uuid_1} se tornará o rei.
$ As relações entre seu rei e o <hint=hint_bishop>Bispo</hint>, a Matriarca e os vizinhos reiniciará.
$ O antigo rei, {soul_uuid_2}, ficará deprimido e odiará {soul_uuid_1}."
hint_action_give_title_to_hired_free_lord,"Dar um título a um nobre livre
O rei dará um <hint=hint_title>Título</hint> a {soul_uuid_1}, que passará a ser membro oficial da família.

Será necessário pagar a taxa à Família Amorosa para assegurar os direitos de {soul_uuid_1} à sua linhagem.

<b>Consequências</b>
$ {soul_uuid_1} receberá o título e se juntará à casa {faction_uuid}.
$ <hint=hint_resource_gold>{give_title_cost}</hint> serão gastos como taxa à Família Amorosa.
$ A quantidade de títulos disponíveis cairá em 1."
hint_action_give_title_to_soldier,"Dar um título a um guerreiro
O rei dará um <hint=hint_title>Título</hint> ao guerreiro sem terras {soul_uuid_1}, que passará a ser membro oficial da família. As habilidades de um nobre com essas características serão relativamente baixas.

Será necessário pagar a taxa à Família Amorosa para documentar a linhagem de {soul_uuid_1}.

Os outros nobres reagirão mal à sua presença devido ao nascimento comum.

<b>Consequências:</b>
$ {soul_uuid_1} receberá o título e se juntará à casa {faction_uuid} como nobre.
$ Opinião inicial dos demais nobres: <red>{mind_modify}</red>
$ <hint=hint_resource_gold>{give_title_cost}</hint> serão gastos como taxa à Família Amorosa.
$ A quantidade de títulos disponíveis cairá em 1."
hint_action_take_title,"Revogar o título de um nobre
O rei revogará o <hint=hint_title>Título</hint> de {soul_uuid_1}, que se tornará um <hint=hint_untitled_lord>Nobre Baixo</hint>.

<b>Consequências:</b>
$ O nobre deserdado se lembrará desta humilhação e criará um pensamento negativo sobre o rei com a força de <red>{der_thought}</red>.
$ Os amigos do nobre ficarão aborrecidos e a opinião deles sobre seu rei irá piorar.
$ Sua família ficará com um título disponível."
hint_action_task_dice,"Jogar dados
Jogue dados com outro nobre.

O resultado do jogo é aleatório, mas bastante influenciado pela diferença na habilidade de <hint=hint_skill_knowledge>Inteligência</hint> dos jogadores.

A aposta será <hint=hint_resource_rune>{dice_bet}</hint>."
hint_action_task_dice_context,"Jogar dados
Jogue dados com outro nobre.

A aposta será <hint=hint_resource_rune>{dice_bet}</hint>.

$ {soul_uuid_1}: inteligência {number1}
$ {soul_uuid_2}: inteligência {number2}

A probabilidade de {soul_uuid_1} vencer é de {ver}%."
hint_action_make_enemy,"Declarar como inimigo
Declare que {soul_uuid_target} é inimigo do seu rei.

$ O personagem tentará fugir do seu reino o mais rápido possível.
$ Seus nobres e guerreiros tentarão atacar e matar este personagem (que assumem estar armado).
$ Você também pode atacar com um <hint=hint_army>Esquadrão de Batalha</hint> (clique com o Botão Direito no alvo).
{additional_info_stack}"
hint_action_task_hunt,"Caçar
Os personagens estão caçando um <hint=hint_fleshwolf>Lobo-sangrento</hint> juntos.
Um lobo-sangrento tem a força equivalente a de um guerreiro com habilidade de combate nv. {wolf_level} armado com uma <hint=hint_resource_wooden_spear>Lança</hint>.

$ Se tiverem sucesso, o lobo-sangrento será derrotado e ambos os caçadores ainda estarão de pé. Eles receberão um <hint=hint_thought_social>Pensamento Social</hint> duradouro, ""Caçamos juntos"" <green>{hunt_improve}</green>.
$ Além disso, em caso de sucesso, os participantes receberão {exp_points} pontos de experiência para suas habilidades de <hint=hint_skill_combat>Combate</hint> e de <hint=hint_skill_command>Comando</hint>.
$ Se um dos caçadores perder a luta, ambos receberão o pensamento social negativo, ""Mau caçador"" <red>{bad_hunter}</red>."
hint_action_task_hunt_context,"Caçar
{soul_uuid_1}: Habilidade de <hint=hint_skill_combat>Combate</hint>: {skill_1}
{soul_1_equipment_stack}

{soul_uuid_2}: Habilidade de <hint=hint_skill_combat>Combate</hint>: {skill_2}
{soul_2_equipment_stack}

Um lobo-sangrento tem a força equivalente a de um lutador com habilidade de combate de {wolf_level} armado com uma <hint=hint_resource_wooden_spear>Lança</hint>."
hint_action_task_together,"Passar tempo juntos
Os personagens passam tempo juntos. Eles podem caminhar, orar, tocar música, etc.

Durante este tempo, definitivamente haverão 2 <hint=hint_conversation>Conversas Aprofundadas</hint>, mas não necessariamente boas.

A probabilidade de uma boa conversa depende do <hint=hint_mood>Humor</hint> dos personagens e a força dos pensamentos que resultarem da conversa depende da habilidade de <hint=hint_skill_manners>Boas Maneiras</hint>."
hint_action_task_hunt_unavailable,"Indisponível
O bispo não está disponível para caçar."
hint_action_task_hunt_by_no_wolf,"Indisponível
Não há lobos-sangrentos disponíveis para caçar na floresta."
hint_action_task_together_new_context,"Passar tempo juntos
$ {soul_uuid_1}: humor {mood_stack_1}, <hint=hint_skill_manners>Boas Maneiras</hint>: {skill_level_1}
$ {soul_uuid_2}: humor {mood_stack_2}, <hint=hint_skill_manners>Boas Maneiras</hint>: {skill_level_2}

<b>Como resultado:</b>
{soul_uuid_1} pensará sobre ${soul_uuid_2}:
{deep_social_stack_1}
Humor: {moral_change_1}

{soul_uuid_2} pensará sobre ${soul_uuid_1}:
{deep_social_stack_2}
Humor: {moral_change_2}"
hint_child_sub_context,"~
Este personagem é um dos pais da criança, então esta ação também atenderá a necessidade de <hint=hint_need_care>Cuidados</hint> da criança."
hint_marriage_local,"Casar
Por não ousar se opor à vontade de seu governante, dois nobres se <hint=hint_marriage>Casarão</hint> de forma legal.

Casamentos entre pais e filhos ou entre irmãos estão proibidos."
hint_marriage_local_context,"Casar
{soul_uuid_1} se tornará cônjuge de {soul_uuid_2}."
hint_action_task_lesson,"~
$ Uma criança que cresceu e aprendeu a ler também obterá o <hint=hint_idea>Conhecimento</hint> de seu professor.
$ Um aprendiz ganhará mais experiência em uma habilidade na qual tenha um <hint=hint_talant>Talento</hint>.
$ Essa ação será repetida diariamente."
hint_action_task_lesson_context,"Aprender
Este professor poderá desenvolver as seguintes habilidades do estudante:
$ {skill_name} até o nível {skill_level_cup}
$ {skill_name_2} até o nível {skill_level_cup_2}

Eficácia do ensino:
$ O professor tem a habilidade de <hint=hint_skill_teaching>Ensinar</hint>: {skill_level_3}
$ E pode transferir {exp} pontos de experiência por lição.

[hint_action_task_lesson]
{optional_add_info}"
hint_study_complex,"Treinamento geral
O professor treinará o estudante em todas as habilidades, focando primeiro em levar os talentos do estudante ao limite máximo e, em seguida, nas demais habilidades."
hint_action_task_lesson_guest,"~
Este personagem é seu convidado, então a lição custa <hint=hint_resource_rune>{price}</hint>.

O pagamento será bancado pelo rei."
hint_action_task_lesson_change_culture,"~
Este personagem pertence à cultura {culture}, então há a chance de que o estudante mude a própria cultura."
hint_action_task_lesson_guest_no_money,"Anéis insuficientes
Este personagem é seu convidado, então a lição custa <hint=hint_resource_rune>{price}</hint>.

Você não tem Anéis Sagrados suficientes para pagar pela lição."
hint_action_task_lesson_bishop_low_opinion,"Relação ruim
Relação ruim com seu rei.

Melhore-a para <green>{option_req}</green>."
hint_duel,"Duelar
Os personagens tentarão determinar o estado da relação entre eles através de um duelo oficial.

$ Elimina o <hint=hint_desire>Desejo</hint> de vingança ou morte do inimigo, se sentido pelos duelistas.
$ O duelo continua até que um dos participantes perca a consciência, mas há a possibilidade de um resultado letal.
$ Quanto mais dor um duelista provocar no oponente, mais fácil é para ele resolver seu desejo.
$ Duelar é uma forma honrada de se resolver conflitos, então mesmo que você mate um <hint=hint_bishop>Bispo</hint> em um duelo, não provocará a ira da Matriarca."
hint_duel_provoke,"Provocar
Um convidado de uma província vizinha provocou seu nobre a entrar em um duelo que acontecerá esta noite.

Se você não está confiante sobre o resultado, pode expulsar o convidado da província antes da hora do duelo. Seu nobre evitará o perigo, mas a relação entre o convidado e o rei do convidado com o seu próprio rei irá piorar."
hint_duel_context,"Duelar
{soul_uuid_1}: habilidade de <hint=hint_skill_combat>Combate</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: habilidade de <hint=hint_skill_combat>Combate</hint>: {skill_2}
{soul_2_equipment_stack}
{optional_duel_is_bad}
{optional_loyalty_change}"
hint_duel_unavailable_actor,"Agente incompatível
O nobre deve ser <hint=hint_enemy>Inimigo</hint> de {soul_uuid_target}."
hint_action_task_savant_study_unavalable,"Especialista
Especialistas não podem ser treinados."
hint_action_invite,"Convite para uma visita
O membro da nobreza aceitará o convite para visitar sua cidade por alguns dias.

$ O membro da nobreza concordará se a relação entre seus reis não estiver abaixo de <green>{opinion_threshold}</green>."
hint_action_shadow,"Ações sinistras
Você pode contratar facínoras desta cidade para realizar ações sinistras, como roubos e sequestros, no <b>menu de ações da cidade</b>.

O custo dos serviços depende da habilidade de <hint=hint_skill_speech>Persuasão</hint> do seu rei."
hint_action_task_hire_free_lord,"Contratar
Contrate um nobre livre por 10 dias.

Você poderá atribuir-lhe as mesmas tarefas que atribuiria a seus próprios nobres: inspecionar edifícios, liderar esquadrões, etc.

O custo depende da habilidade de <hint=hint_skill_speech>Persuasão</hint> do nobre responsável pela negociação."
hint_action_task_hire_free_lord_context,"Contratar um nobre
Habilidade de {skill_name} nv. {skill_level}
Nível de {skill_name} do nobre disponível: {free_lord_skill_level}

Custo total por 10 dias: <hint=hint_resource_rune>{price}</hint> {price_change_percent}

{optional_first_hire}

DICA: o nobre receberá o pagamento apenas no término do contrato e, até lá, o valor será mantido pela Igreja como garantia de bom comportamento de ambas as partes."
hint_action_task_seduce,"Seduzir
$ Se o <hint=hint_interest>Interesse</hint> do nobre sobre o agente for <green>alto</green> (acima de {interest_high}), eles passarão algum tempo na cama.
$ O alvo irá <green>melhorar muito a opinião</green> que tem sobre seu rei, graças à ação do sedutor, e há a possibilidade de que se torne sua <hint=hint_encyclopedia_puppets>Marionete</hint>.

O efeito depende da diferença entre a habilidade de <hint=hint_skill_manners>Boas Maneiras</hint> do agente e a habilidade de <hint=hint_skill_knowledge>Intelecto do alvo.

[hint_loyal_conflict]"
hint_action_task_seduce_context,"Seduzir
Habilidade de {skill_name} nv. {skill_level}
A habilidade de {target_skill_name} do alvo: nv. {target_skill_level}

<b>Como resultado:</b>
$ Pensamento de {soul_uuid_performer}: <red>""Usaram-me"" - {being_used}</red>
$ Relação com seu rei ({soul_uuid_king}): <green>+{rel_plus}</green>
$ <hint=hint_loyalty>Lealdade</hint> de {soul_uuid_target}: <red>{loyalty_change}</red>

Interesse de {soul_uuid_target} em {soul_uuid_performer}: {interest_stack}"
hint_action_task_seduce_local,"Seduzir
$ Se o <hint=hint_interest>Interesse</hint> do nobre sobre o agente for <green>alto</green> (acima de {interest_high}), eles passarão algum tempo na cama.
$ Como resultado, o alvo terá uma <green>relação melhor</green> com o agente e com seu rei, podendo até se tornar sua <hint=hint_encyclopedia_puppets>Marionete</hint>."
hint_action_task_seduce_local_context,"Seduzir
Habilidade de {skill_name} nv. {skill_level}
A habilidade de {target_skill_name} do alvo: nv. {target_skill_level}

<b>Como resultado:</b>
$ Pensamento de {soul_uuid_performer}: <red>""Usaram-me"" - {being_used}</red>
$ Relação com seu rei ({soul_uuid_king}): <green>+{rel_plus}</green>
$ Opinião de {soul_uuid_target} sobre {soul_uuid_performer}: <green>{good_mind}</green>

Interesse de {soul_uuid_target} em {soul_uuid_performer}: {interest_stack}"
hint_poison,"Envenenar
Se o envenenamento tiver sucesso, o alvo morrerá em agonia, mas a suspeita cairá sobre o perpetrador, que será banido de visitar a província.

Em caso de falha, a <hint=hint_relations>Relação</hint> entre seus <hint=hint_persons_king>Reis</hint> irá deteriorar bastante e o alvo entrará em uma luta até a morte. O envenenador não poderá voltar a visitar a província.

$ A probabilidade de sucesso depende da diferença entre a habilidade de <hint=hint_skill_knowledge>Inteligência</hint> entre os personagens na interação.
$ Você deve ter um personagem com a característica <hint=hint_trait_poisoner>Envenenador</hint> e um alto nível de lealdade a seu rei."
hint_poison_context,"Envenenar
{soul_uuid_performer}
Habilidade de {skill_name_2} nv. {skill_level_2}

{soul_uuid_target}
Habilidade de {skill_name_1} nv. {skill_level_1}

<b>Probabilidade de sucesso:</b> {assain_chance}%

Em caso de falha, a <hint=hint_relations>Relação</hint> entre seus <hint=hint_persons_king>Reis</hint> irá deteriorar bastante e o alvo irá entrar em uma luta até a morte."
hint_action_task_bribe,"Subornar
$ O nobre dará <hint=hint_resource_rune>{rings_rew_number}</hint> ao personagem e tentará gerar insatisfação do personagem com seu respectivo rei.
$ Como resultado, a <hint=hint_loyalty>Lealdade</hint> do nobre sobre o próprio rei cairá.
$ O valor de lealdade perdido depende da diferença entre a habilidade de <hint=hint_skill_speech>Persuasão</hint> do agente.

[hint_loyal_conflict]"
hint_action_task_bribe_context,"Subornar
Habilidade de {skill_name} nv. {skill_level}
A habilidade de {skill_name} do alvo: {lord_skill_level}

<b>Como resultado:</b>
$ <hint=hint_loyalty>Lealdade</hint> a seu respectivo rei: <red>{loyalty_modify}</red>
$ Relação com seu rei ({soul_uuid_king}): <green>+{rel_plus}</green>

<b>Preço</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_bribe_unavailable_to_loyalist,"Indisponível
Este nobre é leal a seu respectivo rei."
hint_action_task_bribe_gm,"~
Esta tarefa pode ser realizada com a ajuda de uma enviado. Nesse caso, o suborno será feito em nome do seu rei e a eficácia dependerá das habilidades do enviado."
hint_action_task_go,"Expulsar
Peça que o convidado saia da província.

A relação entre seu rei, o líder da casa nobre a qual o convidado pertence e o convidado irá deteriorar.

Além disso, o convidado será proibido de visitar sua província no futuro."
hint_action_task_go_context,"Expulsar
Peça que o convidado saia da província.

A habilidade de boas maneiras do agente afeta a redução dos pensamentos negativos alcançada com esta ação.

{soul_uuid_performer}:
Habilidade de {skill_name_2} nv. {skill_level_2}.

$ Opinião de {soul_uuid_target} sobre {soul_uuid_performer_king}: <red>{relations_modify_target}</red>
$ Opinião de {soul_uuid_king} sobre {soul_uuid_performer_king}: <red>{relations_modify_king}</red>
$ Este personagem já não poderá lhe visitar."
hint_kidnap,"Sequestro de personagem
Tente capturar o personagem selecionado enquanto ele dorme.

$ Se o personagem não acordar (probabilidade de {wake_k}), ele se tornará um refém.
$ Se o alvo acordar, irá começar uma luta com o agente e tentará escapar da cidade em seguida. Porém, você ainda terá uma chance de capturá-lo se o agente ou os guardas conseguirem incapacitar o alvo.

De qualquer forma, você terá violado a lei sagrada da hospitalidade e a <hint=hint_relations>Relação</hint> entre seu rei e o refém, o rei do refém e todos os <hint=hint_persons_king>Reis</hint> vizinhos cairá bastante.

A <hint=hint_loyalty>Lealdade</hint> do agente precisa ser maior do que {loyalty_action} para que ele realize a tarefa."
hint_kidnap_context,"Sequestro de personagem
Probabilidade da vítima acordar: {wake}%

{soul_uuid_performer}:
Habilidade de {skill_name_1} nv. {skill_level_1}

{soul_uuid_target}:
Habilidade de {skill_name_2} nv. {skill_level_2}
{optional_wake_info}"
hint_diplomacy,"Reconciliação
O personagem pode persuadir um rei hostil a encerrar uma guerra sem sentido e perigosa para começar do zero.

$ Relação com o rei inimigo se torna <red>-10</red> independentemente do nível atual de inimizade.
$ Você deve ter um personagem com a característica <hint=hint_trait_diplomat>Diplomata</hint>.
$ Além disso, a <hint=hint_loyalty>Lealdade</hint> do agente deve ser mais alta que {loyalty_action} para que ele realize a tarefa.

<b>Preço</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_diplomacy_context,"Reconciliação
Relação com o rei inimigo se torna <red>-10</red> independentemente do nível atual de inimizade.

<b>Preço</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_assasin,"Tentativa de assassinato
Tente matar este personagem ao atacá-lo enquanto ele dorme à noite.

Em caso de sucesso, a <hint=hint_relations>Relação</hint> entre seus <hint=hint_persons_king>Reis</hint> irá deteriorar bastante.

A <hint=hint_loyalty>Lealdade</hint> do agente deve ser alta para que ele realize a tarefa."
hint_assasin_context,"Tentativa de assassinato
Probabilidade da vítima acordar: {wake}%

{soul_uuid_performer}:
Habilidade de {skill_name_1} nv. {skill_level_1}

{soul_uuid_target}:
Habilidade de {skill_name_2} nv. {skill_level_2}
{optional_wake_info}"
hint_assasin_gm,"Tentativa de assassinato
Tente matar este personagem ao atacá-lo enquanto ele dorme à noite.

De qualquer forma, a <hint=hint_relations>Relação</hint> entre seus <hint=hint_persons_king>Reis</hint> irá deteriorar bastante.

A taxa de sucesso depende da habilidade de <hint=hint_skill_combat>Combate</hint> tanto do agente quanto do alvo.

A <hint=hint_loyalty>Lealdade</hint> do agente deve ser alta para que ele realize a tarefa."
hint_assasin_context_gm,"Tentativa de assassinato
Habilidade de {skill_name} nv. {skill_level}

De qualquer forma, a <hint=hint_relations>Relação</hint> entre seus <hint=hint_persons_king>Reis</hint> irá deteriorar bastante."
hint_action_task_provoke_duel,"Provocação de duelo
Seu nobre irá insultar deliberadamente este nobre, criando um motivo para o duelo.

Como resultado do duelo, um dos nobre pode morrer.

Além disso, o bispo local ficará sabendo do ocorrido e reportará suas ações à Matriarca.

De qualquer forma:
$ Relação com {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relação com a Matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_context,"Provocação de duelo
{soul_uuid_1}: Habilidade de <hint=hint_skill_combat>Combate</hint>: {skill_1}
{soul_1_equipment_stack}

VS

{soul_uuid_2}: Habilidade de <hint=hint_skill_combat>Combate</hint>: {skill_2}
{soul_2_equipment_stack}"
hint_action_task_provoke_duel_result_1,"O duelo terminou!
{soul_uuid_target} morreu.

$ Relação com {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relação com a Matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_2,"O duelo terminou!
Seu nobre morreu.

$ Relação com {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relação com a Matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_action_task_provoke_duel_result_3,"O duelo terminou!
Os combatentes ainda estão vivos.

$ Relação com {soul_uuid_king}: <red>{rel_de_duel_provocation}</red>
$ Relação com a Matriarca: <red>{rel_de_duel_provocation_neighbore}</red>"
hint_unavailable_low_match,"Baixo interesse
O interesse do alvo sobre este nobre é baixo demais.

Interesse de {soul_uuid_target} sobre {soul_uuid_performer}: {interest_stack}"
hint_unavailable_social_cooldown,"Inapto para interação
{soul_uuid_performer} já interagiu com {soul_uuid_target} recentemente e deseja se concentrar em outras tarefas.

$ Você pode repetir a ação em {remain_time} horas."
hint_unavailable_low_loyalty,"Baixa lealdade
O agente tem <hint=hint_loyalty>Lealdade</hint> baixa demais. Para realizar esta tarefa, a lealdade deve ser de pelo menos {loyalty_threshold}, mas no momento é de apenas {loyalty}."
hint_loyal_conflict,"~
Quando a <hint=hint_loyalty>Lealdade</hint> de um personagem cai abaixo de 25, o nobre entra em conflito com o rei.

$ Se for um herdeiro que não seja amigável com o rei, ele pode causar uma <hint=hint_nt_heir_rebellion>Rebelião</hint>.
$ Se for um nobre comum ou alguém favorável ao herdeiro, ele dará preferência a partir para uma província vizinha, o que piora a relação entre os reis, mas não causa uma rebelião.

<b>Como resultado</b>, a população, a economia e o exército deste rei <b>irão decair</b>."
hint_unavailable_trade_moving,"Inapto
O comerciante da Caravana estará pronto para negociar quando chegar ao centro da cidade."
hint_unavailable_madness,"Loucura
Este nobre não tem como lidar com isso agora."
hint_unavailable_to_madness,"Loucura
Esta interação não pode ser atribuída neste momento."
hint_go_home,"Voltar para casa
O nobre volta para sua respectiva cidade."
action_is_unavaible_by_captive,"Refém
O nobre não pode realizar esta ação, pois está preso."
hint_action_task_confession,"Confissão
O personagem se confessa ao bispo em troca de uma pequena oferenda.

<b>Custo:</b> <hint=hint_resource_rune>{conf_price}</hint>

Os seguintes <hint=hint_sin>Pecados</hint> serão absolvidos:
{sins}"
hint_action_task_confession_unavailable,"Confissão indisponível
Este nobre não pecou recentemente."
