Key,Russian
hint_test_inline_image,"Тест вложенного изображения
Если включить, игра будет сохраняться только на выходе, не позволяя вам переигрывать неудачные моменты через постоянную загрузку.

<img=s_gui_event_background_king></img>

Смена языка возможна только через <hint=hint_test_inline_image_2>Главное меню.</hint>

<img=s_not_existed_image></img>"
hint_settings_language_change_error,"Недоступно
Смена языка возможна только через Главное меню."
hint_changelog_patchnotes,"~
Добро пожаловать в ранний доступ Норланда!

Игра быстро развивается, мы все время добавляем новые механики, а это часто приводит к тому, что появляются ошибки или другие разрдражающие недостатки.

Поэтому пожалуйста будьте благосклонны, и сообщите нам на форум, почту или в дискорд, если вы получили неприятный опыт игры - мы постараемся исправить все максимально быстро!

С уважением, команда разработчиков."
hint_settings_iron_man,"Железная воля
Если включить, игра будет сохраняться только на выходе, не позволяя вам переигрывать неудачные моменты через постоянную загрузку.

Этот режим позволяет получить самые лучшие эмоции от игры!"
hint_settings_normal_peaceful,"Мирный режим
Сложность игры снижена, а соседи не будут вас трогать, пока вы сами не начнете агрессивные действия.

Количество начальных ресурсов также увеличено.

<b>Рекомендуется для тех, кто хочет спокойно развивать свое поселение, а также для новых игроков.</b>"
hint_settings_normal_start,"Нормальный режим
Режим, позволяющий получить сбалансированный опыт. Сложность игры будет нарастать постепенно в течение первых дней после начала игры.

Новые механики и вызовы будут вводиться поэтапно, позволяя вам адаптироваться.

<b>Рекомендуется для игроков, уже знакомых с игрой и желающих поиграть в нее так, как она задумывалась.</b>"
hint_settings_hardcore_start,"Хардкор
<b>В режиме хардкора</b> все вызовы начинаются с первого дня, требуя от вас высокой концентрации, мультизадачности и знакомства с игрой. 

Начальные ресурсы также ограничены.

<b>Рекомендуется только для очень опытных игроков!</b>"
hint_army_power,"Сила армии
$ Сила армии других королей считается как совокупная стоимость снаряжения бойцов.
$ Вашу силу армии соседи считают как совокупная стоимость лучшего оружия и брони, которую могут надеть ваши воины.
"
hint_desire,"Желание
Время от времени персонажами овладевают различные желания. Они делятся на сильные <hint=hint_desire_obsession>одержимости</hint> (например, желание мести), и на более легкие <hint=hint_desire_dream>мечты</hint>.

<img=hint_desire></img>

$ Когда персонажем овладевает <hint=hint_desire_obsession>одержимость</hint>, он будет сильно страдать, пока желание не исполнится. Сила неудовлетворенности будет нарастать, и в некоторых случаях персонаж может решить самостоятельно исполнить желание.  
$ <hint=hint_desire_dream>Мечты</hint> не так сильно беспокоят персонажа, но зато при исполнении этого желания, он получает <hint=hint_tutorial_inspiration>Вдохновение</hint>.
$ При выполнении желаний персонаж в любом случае получает сильную положительную мысль.
$ Желания отображаются в первой закладке окна персонажа."
hint_action,"Задание персонажа
Нажав на кнопку действия в меню здания или персонажа, вы можете выдавать вашим лордам различные задания, которые он будет стараться делать по мере возможности. Эти задания отображаются в виде кнопок над его меню.

Вы можете принудить его к выполнению задания немедленно, нажав на кнопку задания, но это расстроит его.

Лорд не будет выполнять задание, если он <hint=hint_unhappy>несчастен</hint>.

Вы также можете раздавать задания, нажав <b>Правую кнопку</b> на зданиях или персонажах, и вызвав контекстное меню."
hint_fleshwolf,"Плотоволк
Сильный хищник, представитель скудной фауны Норланда. 

Считается, что по силе Плотоволк соответствует бойцу с навыком боя {wolf_level}, который вооружен <hint=hint_resource_wooden_spear>копьем</hint>.

$ Водится в лесах, сторонится открытых пространств. Может атаковать людей. Используйте <hint=hint_bld_patrol_sign_day>Дневные патрули</hint> для защиты крестьян.
$ Лорды традиционно охотятся на них парами, и используя только оружие ближнего боя, что примерно уравнивает шансы и отражает представления о чести
$ Вы также можете атаковать их отрядами воинов.
$ В туше каждого убитого плотоволка содержится немного <hint=hint_resource_meat>Мяса</hint>"
hint_action_task_reward,"Награда
Персонаж получит награду от короля за верную службу.

Король: {skill_name} {skill_level} ур.

<b>В результате:</b>
$ Мысль <green>Награжден: {mind_modify}</green>
$ Лояльность: <green>{loyalty_modify}</green>
$ Отношение к королю: <green>{relations_modify}</green>.

<b>Стоимость</b>: <hint=hint_resource_rune>{rings_rew_number}</hint>"
hint_action_task_threat,"Запугать
Король угрожает последствиями, если персонаж задумается о предательстве.

Король: {skill_name} {skill_level} ур.

<b>В результате:</b>
$ Лояльность: <green>{loyalty_modify}</green>

<b>Побочные эффекты</b>:
$ Отрицательная мысль: <red>Подвергся угрозам: {threat_moral_modify}</red>
$ Существует вероятность, что персонаж атакует короля."
