Key,SimplifiedChinese
hint_test_inline_image,
hint_settings_language_change_error,"操作失败
变更语言须前往主菜单。"
hint_changelog_patchnotes,"~
欢迎来到《诺兰德》抢先体验版！

随着游戏内容不断丰富，我们一直在引入新的机制，常常由此引发一些错误或其他恼人的问题。

因此，如果您在游戏中遇到任何不愉快的体验，敬请理解！欢迎大家通过论坛、电子邮件或 Discord 联系我们 —— 我们会尽快修复所有问题！

此致
开发团队敬上"
hint_settings_iron_man,"钢铁意志
启用后，游戏只会在退出时保存进度。请注意，在这种情况下你将无法定期保存或加载游戏。

这种模式虽然残酷，但也会带来惊心动魄的游戏体验。"
hint_settings_normal_peaceful,"和平模式
游戏难度降低，只要你不主动发起攻击，将不会受到邻邦干扰。

开局获得较多的资源。

<b>如果你是新玩家，或是想要平和地发展自己的聚落，推荐游玩此模式。</b>"
hint_settings_normal_start,"普通模式
普通模式将带来较为平衡的游戏体验，游戏难度将在开始游戏的几天内逐渐增加。

新的机制与挑战将随着游戏进程逐渐呈现，便于玩家适应。

<b>如果你对此款游戏较为熟悉，或是想要体验最原汁原味的游戏玩法，推荐游玩此模式。</b>"
hint_settings_hardcore_start,"硬核模式
<b>在硬核模式中</b>，游戏开始的第一天将开启所有挑战，需要玩家全神贯注、一心多用，并且要对游戏足够了解。

开局只能获得有限的资源。

<b>只推荐经验非常丰富的玩家游玩此模式！</b>"
hint_army_power,"军事实力
$其他君王的军事实力根据军队战士的装备总值计算。
$你的军事实力则由邻邦根据你的军队战士穿戴的最上乘武器、盔甲的总值计算。"
hint_desire,"欲望
角色有时会被各种欲望控制，强烈的欲望是<hint=hint_desire_obsession>执念</hint>（例如复仇的欲望），温和的欲望是<hint=hint_desire_dream>梦想</hint>。

<img=hint_desire></img>

$当角色被<hint=hint_desire_obsession>执念</hint>所控，他们就会痛不欲生，心中的不满会不断增长，直到欲望实现。某些情况下，角色可能会选择自行实现欲望。
$<hint=hint_desire_dream>梦想</hint>对角色的影响不会很大，但是实现这种欲望会使他们获得<hint=hint_tutorial_inspiration>灵感</hint>。
$实现欲望总会赋予角色强烈的积极想法。
$欲望会显示在角色窗口的第一个选项卡中。"
hint_action,"角色任务
点击建筑或角色菜单上的行动按钮，可以为领主指派各种任务。指派完成后，领主会在情况允许时努力完成任务。任务图标将显示在角色菜单栏上方。

你可以点击任务图标迫使领主立即完成该任务，只是会让他们不满。

如果领主感到<hint=hint_unhappy>不满</hint>就不会再执行任务。

你可以使用<b>鼠标右键点击</b>建筑或角色唤起相应菜单来指派任务。"
