Key,Spanish
hint_test_inline_image,
hint_settings_language_change_error,"No disponible
El cambio de idioma solo es posible en el menú principal."
hint_changelog_patchnotes,
hint_settings_iron_man,"Voluntad de hierro
Cuando esté activado, el juego solo guardará tu avance cuando salgas. Ten en cuenta que no podrás guardar y cargar la partida con regularidad.

Este modo, aunque sea implacable, te permite disfrutar del juego de una forma más visceral."
hint_settings_normal_peaceful,"Modo Pacífico
La dificultad del juego se reduce, y los vecinos no te molestan, a no ser que seas tú quien inicie las hostilidades.

La cantidad de recursos iniciales también es más alta.

<b>Se recomienda para quienes quieran desarrollar su asentamiento tranquilamente, o para jugadores novatos.</b>"
hint_settings_normal_start,"Modo Normal
Un modo que ofrece una experiencia equilibrada. La dificultad del juego aumenta gradualmente durante los primeros días tras empezar la partida.

Se van introduciendo nuevas mecánicas y desafíos en el transcurso de la partida, lo que permite que te vayas adaptando.

<b>Se recomienda para jugadores que ya conozcan el juego y quieran disfrutarlo de la forma que se pretende.</b>"
hint_settings_hardcore_start,"Extremo
<b>En modo Extremo</b>, todos los desafíos empiezan desde el principio, lo que requiere una elevada concentración, capacidad de multitarea y un amplio conocimiento del juego.

Los recursos iniciales también son más limitados.

<b>¡Se recomienda solo a jugadores muy experimentados!</b>"
hint_army_power,"Fuerza del ejército
$ La fuerza de los ejércitos de otros monarcas es el resultado del valor total del equipo de los guerreros.
$ Para tus vecinos, la fuerza de tu ejército es el resultado del valor total de las mejores armas y armaduras que tus guerreros pueden llevar."
hint_desire,"Deseos
De tanto en tanto, los señores se verán superados por varios deseos. Estos se dividen en fuertes <hint=hint_desire_obsession>obsesiones</hint> (como el deseo de venganza) o <hint=hint_desire_dream>sueños</hint> más ligeros.

<img=hint_desire></img>

$ Los personajes con una <hint=hint_desire_obsession>obsesión</hint> sufren enormemente hasta que el deseo se satisface. La intensidad de la insatisfacción irá creciendo y, en algunos casos, el personaje puede decidir satisfacer el deseo por su cuenta.
$ Los <hint=hint_desire_dream>sueños</hint> no molestan tanto al personaje, pero satisfacerlos le otorga <hint=hint_tutorial_inspiration>inspiración</hint>.
$ Al satisfacer un deseo, los personajes siempre recibirán un potente pensamiento positivo.
$ Los deseos se muestran en la primera pestaña de la ventana del personaje."
hint_action,"Tareas de personaje
Si haces clic en el botón de acción del menú Personajes o Edificios, puedes asignar varias tareas a tus señores, que se esforzarán en cumplir cuando estén disponibles. Estas tareas se muestran como botones en su respectivo menú.

Puedes obligarlos a realizar la tarea de inmediato, si haces clic en el botón de la tarea, pero eso hará que se enfaden.

Un señor no llevará a cabo una tarea si está <hint=hint_unhappy>descontento</hint>.

También puedes asignar tareas haciendo <b>clic derecho</b> sobre edificios o personajes para desplegar un menú contextual."
