Key,TraditionalChinese
hint_test_inline_image,
hint_settings_language_change_error,"無法進行
僅限於主選單變更語言。"
hint_changelog_patchnotes,"~
歡迎參與《諾蘭德》的搶先體驗！

這款遊戲正在迅速地進化。我們一直在加入新的機制，而這經常會導致程式錯誤或其他惱人的問題。

各位如果遇到不愉快的遊戲體驗，請多包涵，並且透過論壇、電子郵件或 Discord 告訴我們。我們會盡量用最快的修正所有問題！

敬祝 順心
開發團隊敬上"
hint_settings_iron_man,"鋼鐵意志
啟用後，遊戲只會在你退出時儲存進度，而你無法定期存檔或讀檔。

此模式雖然棘手，卻能體驗到遊戲更感性的一面。"
hint_settings_normal_peaceful,"和平模式
遊戲難度降低。除非你主動採取攻擊手段，否則鄰邦不會來打擾你。

起始資源的數量增加。

<b>推薦給新手玩家、想要安逸發展領地的玩家。</b>"
hint_settings_normal_start,"正常模式
提供平衡體驗的模式。遊戲的難度會在起始數日內逐步攀升。

隨著遊戲進展引入新機制、新挑戰，讓你慢慢適應。

<b>推薦給已經熟悉遊戲，想擁有原味體驗的玩家。</b>"
hint_settings_hardcore_start,"硬核模式
在<b>硬核模式</b>中，所有挑戰從第一天就會開始，需要極度專注、多線發展，以及對遊戲的詳盡瞭解。

起始資源的數量縮減。

<b>只推薦經驗豐富的玩家挑戰！</b>"
hint_army_power,"軍事實力
$ 鄰邦君王的軍事實力，是根據戰士裝備的總價值計算。
$ 我邦君王的軍事實力，是根據戰士可穿戴的最佳武器／防具總價值來計算。"
hint_desire,"慾望
人物不時會受到各種慾望所困擾。慾望分為較強烈的<hint=hint_desire_obsession>執念</hint>（比如報復的慾望），與較輕的<hint=hint_desire_dream>夢想</hint>。

<img=hint_desire></img>

$ 當人物受<hint=hint_desire_obsession>執念</hint>所困擾時，直到慾望實現前會深受其苦。不滿的強度會逐步升級，在某些情況下，人物可能會下定決心靠自己去實現慾望。
$ <hint=hint_desire_dream>夢想</hint>並不會像執念一樣那麼困擾人物，但實現此慾望能賦予該人物<hint=hint_tutorial_inspiration>鼓舞</hint>狀態。
$ 實現慾望會賦予人物強烈的正面想法。
$慾望顯示在「人物」視窗的第一個分頁。"
hint_action,"個人事項
點選建築物或「人物」選單中的行動按鈕，可以指派各種事項給貴族。貴族會抽空去執行獲派的事項。事項按鈕會顯示在各人物的選單上方。

點選事項按鈕可以強制貴族立即執行該事項，但會讓他們心生不滿。

心懷<hint=hint_unhappy>不滿</hint>的貴族會拒絕執行事項。

對建築或人物按<b>右鍵</b>也可以叫出選單來指派事項。"
hint_fleshwolf,"食肉狼
強壯的掠食動物，為諾蘭德的代表性珍稀物種。

食肉狼的實力相當於戰鬥能力 {wolf_level} 且持有<hint=hint_resource_wooden_spear>矛</hint>的打手。

$ 棲息於森林，不喜開闊地形。會攻擊人類，因此需安排<hint=hint_bld_patrol_sign_day>日間巡邏</hint>來保護庶民。
$ 貴族有結伴狩獵食肉狼的傳統，且狩獵時僅持近戰武器，以表達對動物的尊敬。
$ 戰士組成的部隊也能夠攻擊食肉狼。
$ 每殺死一隻食肉狼，其屍體都帶有一些可食用的<hint=hint_resource_meat>肉</hint>。"
hint_action_task_reward,"賞賜
君王將給予賞賜，嘉勉此貴族忠誠的奉獻。

君王的{skill_name}等級：{skill_level}

<b>行動結果：</b>
$ 想法 <green>獲得賞賜：{mind_modify}</green>
$ 忠誠度：<green>{loyalty_modify}</green>

<b>支付</b>：
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>副作用：</b>
與君王的關係：<green>{relations_modify}</green>"
hint_action_task_threat,"受到威脅
君王將威脅此貴族，若膽敢圖謀不軌，就讓其吃盡苦頭。

君王的{skill_name}等級：{skill_level}

<b>行動結果：</b>
$ 忠誠度：<green>{loyalty_modify}</green>

<b>副作用：</b>
$ 負面想法 <red>受到威脅：{threat_moral_modify}</red>
$ 該人物有一定的機率會攻擊君王。"
hint_action_task_donate,"要求捐獻
統治者將要求此貴族捐出<hint=hint_resource_rune>聖戒</hint>來資助國庫。

統治者的{skill_name}等級：{skill_level}

<b>行動結果：</b>
$ 想法 <red>被迫捐獻：{mind_modify}</red>
$ 忠誠度：<red>{loyalty_modify}</red>

<b>統治者獲得</b>：
$ {rings_rew_number} 枚<hint=hint_resource_rune>聖戒</hint>"
hint_action_new_heir,"立為王儲
君王將正式宣布此貴族為其王儲。

<b>行動結果：</b>
$ {soul_uuid_1}將成為王儲。
$ 原先的王儲{soul_uuid_2}將感到名譽受辱，並對君王和{soul_uuid_1}懷恨在心。"
hint_action_new_king,"傳授王位
君王會將王位傳給此貴族。

<b>行動結果：</b>
$ {soul_uuid_1}將成為新任帝王。
$ 我邦君王與<hint=hint_bishop>主教</hint>、國母、鄰邦之間的關係將從頭開始。
$ 前任帝王{soul_uuid_2}將陷入憂鬱，並對{soul_uuid_1}懷恨在心。"
