Key,Turkish
hint_test_inline_image,
hint_settings_language_change_error,"Gerçekleştirilemez
Dil değişiklikleri yalnızca Ana Menü'den yapılabilir."
hint_changelog_patchnotes,"~
Norland'ın Erken Erişim'ine Hoş Geldin!

Oyunumuz hızla gelişiyor ve sürekli yeni mekanikler ekliyoruz. Bu da ara sıra hataların veya başka sinir bozucu sorunların doğmasına yol açıyor.

Bu yüzden anlayışlı olmanı rica ediyoruz. Oyun keyfine bozan bir durumla karşılaşırsan lütfen forum, e-mail veya Discord aracılığıyla bize haber ver ki sorununu en hızlı şekilde çözebilelim!

En içten dileklerimizle,
Geliştirici Ekip."
hint_settings_iron_man,"Demir İrade Modu
Etkinleştirildiğinde oyun yalnızca oyundan çıktığında kaydedilir. Oyunu düzenli olarak kaydedip yükleyemeyeceğini unutma.

Bu mod acımasız olsa da oyunu daha duygusal bir şekilde tecrübe etmeni sağlar."
hint_settings_normal_peaceful,"Barışçıl Mod
Oyun zorluğu azaltılır ve agresif eylemlerde bulunmadığın müddetçe komşuların seni rahatsız etmez.

Başlangıç kaynakları da artırılmıştır.

<b>Yerleşkelerini barışçıl bir şekilde geliştirmek isteyenler ve yeni oyuncular için önerilir.</b>"
hint_settings_normal_start,"Normal Mod
Dengeli bir tecrübe sunan moddur. Oyun zorluğu, oyuna başladıktan sonra birkaç gün boyunca kademeli olarak artar.

Yeni mekanikler ve zorluklar adapte olabilmen için kademeli olarak tanıtılır.

<b>Oyuna aşina olan oyuncular ve oyunu tasarlandığı gibi oynamak isteyen oyuncular için önerilir.</b>"
hint_settings_hardcore_start,"Zor Mod
<b>Zor modda</b> tüm zorluklar birinci günden başlar. Yüksek konsantrasyon, aynı anda birden fazla iş yapabilme becerisi ve oyun tecrübesi gerektirir.

Başlangıç kaynakları kısıtlıdır.

<b>Yalnızca çok tecrübeli oyuncular için önerilir!</b>"
hint_army_power,"Ordu Gücü
$ Diğer hükümdarların ordularının gücü, savaşçıların ekipmanlarının toplam değeri olarak hesaplanır.
$ Senin ordunun gücü ise komşuların tarafından, savaşçılarının kuşanabileceği en iyi silah ve zırhın toplam değeri olarak hesaplanır."
hint_desire,"Arzular
Bazen karakterlerin giderilmesi gereken arzuları ortaya çıkar. Bu arzular güçlü <hint=hint_desire_obsession>takıntılar</hint> (intikam arzusu gibi) veya daha hafif <hint=hint_desire_dream>hayaller</hint> olarak ikiye ayrılır.

<img=hint_desire></img>

$ Bir karakter <hint=hint_desire_obsession>takıntı</hint> edindiği zaman bu arzu giderilene kadar büyük bir acı çeker. Bu memnuniyetsizliğin boyutu giderek artar ve karakter bazen bu arzuyu kendisi gidermeye çalışabilir.
$ <hint=hint_desire_dream>Hayaller</hint> karaktere o kadar sorun olmaz fakat bu arzuyu gidermek <hint=hint_tutorial_inspiration>İlham</hint> sağlar.
$ Arzuları gidermek karaktere her zaman kuvvetli olumlu düşünceler sağlar.
$ Arzular karakter ekranının ilk sekmesinde gösterilir."
hint_action,"Karakter Görevleri
Bina veya Karakter menüsünden eylem butonuna tıklayarak çeşitli görevleri asilzadelere atayabilirsin. Asilzadeler açılan görevleri tamamlamak için çabalayacaklardır. Bu görevler menülerinin üzerinde butonlar olarak görünecektir.

Görev butonuna tıklayarak asilzadeleri görevi hemen yapmaya zorlayabilirsin ancak asilzadeler bu durumdan mutsuz olacaktır.

Bir asilzade <hint=hint_unhappy>mutsuz</hint> olduğunda görevini yapmaz.

Bina veya karakterlere <b>sağ tıklayıp</b> menüsünü açarak da görev ataması yapabilirsin."
hint_fleshwolf,"Etbörü
Norland'ın seyrek faunasının temsilcisi olan güçlü bir avcıdır.

Etbörülerin {wolf_level} Dövüş becerisine sahip, <hint=hint_resource_wooden_spear>Mızrak</hint> kuşanmış bir savaşçıya eşdeğer güçte olduğu düşünülür.

$ Ormanlarda yaşarlar ve açık alanlardan uzak dururlar. İnsanlara saldırabilirler. <hint=hint_bld_patrol_sign_day>Gündüz devriyelerini</hint> kullanarak köylüleri koruyabilirsin.
$ Asilzadeler, hayvanları onurlandırmak için yalnızca yakın dövüş silahları kullanır ve çiftler hâlinde avlanırlar.
$ Etbörülere savaşçı bölükleriyle de saldırılabilir.
$ Öldürülen her etbörü cesedinden bir miktar yenilebilir <hint=hint_resource_meat>et</hint> elde edilebilir."
hint_action_task_reward,"Ödüllendir
Bu karakter, sadık hizmetlerinden ötürü hükümdardan bir hediye alır.

Hükümdar: {skill_level}. seviye {skill_name}

<b>Sonuç olarak:</b>
$ Düşünce <green>Ödüllendirildi: {mind_modify}</green>
$ Sadakat: <green>{loyalty_modify}</green>

<b>Bedel</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Yan etkisi:</b>
Hükümdar ile ilişkisi: <green>{relations_modify}</green>"
hint_action_task_threat,"Tehdit
Karakter ihanet etmeyi düşünürse hükümdar onu bu eylemin sonuçlarına dair tehdit eder.

Hükümdar: {skill_level}. seviye {skill_name}

<b>Sonuç</b>
$ Sadakat: <green>{loyalty_modify}</green>

<b>Yan etkileri</b>:
$ Olumsuz düşünce: <red>Tehdit edildi: {threat_moral_modify}</red>
$ Bu karakterin hükümdara saldırma ihtimali bulunur."
hint_action_task_donate,"Bağış İsteği
Hükümdar, yardım olarak birkaç <hint=hint_resource_rune>kutsal yüzük</hint> bağışı ister.

Hükümdar: {skill_name}. seviye {skill_level}

<b>Sonuç</b>
$ Düşünce <red>Bağışlamaya zorlandı: {mind_modify}</red>
$ Sadakat: <red>{loyalty_modify}</red>

<b>Hükümdar</b>:
$ {rings_rew_number} <hint=hint_resource_rune>kutsal yüzük</hint> alır."
hint_action_new_heir,"Vâris Olarak Ata
Hükümdar bu karakteri vârisi olarak atar.

<b>Sonuç:</b>
$ {soul_uuid_1} vâris olacak.
$ Eski vâris {soul_uuid_2} küçümsenmiş hisseder, hükümdar ve {soul_uuid_1} için kin besler."
hint_action_new_king,"Tacı Ver
Hükümdar tacını bu karaktere verir.

<b>Sonuçlar:</b>
$ {soul_uuid_1}, hükümdar olur. 
$ Hükümdarın ve <hint=hint_bishop>Piskoposun</hint>, Maderşah ile komşular arasındaki ilişkiler sıfırdan başlar. 
$ Eski hükümdar {soul_uuid_2} depresyona girer ve {soul_uuid_1} için nefret besler."
hint_action_give_title_to_hired_free_lord,"Özgür Asilzadeye Ünvan Ver
{soul_uuid_1}, hükümdardan bir <hint=hint_title>ünvan</hint> alır ve ailenin bir ferdi olur.

{soul_uuid_1} için Sevecen Aile'ye vergi verilerek nesildeki haklarını güvenceye almak gerekir.

<b>Sonuçlar</b>
$ {soul_uuid_1} ünvanı alır ve {faction_uuid} grubuna katılır.
$ Sevecen Aile'ye vergi olarak <hint=hint_resource_gold>{give_title_cost}</hint> verilir.
$ Mevcut ünvanların sayısı 1 azalır."
hint_action_give_title_to_soldier,"Savaşçıya Bir Ünvan Ver
Yurtsuz savaşçı {soul_uuid_1}, hükümdardan bir <hint=hint_title>ünvan</hint> alır ve ailenin bir ferdi olur. Bu asilzadenin becerilerinin seviyesi kısmen düşük olur.

{soul_uuid_1} için Sevecen Aile'ye vergi verilerek neslinin belgelenmesi gerekir.

Diğer asilzadeler, asil doğmadığı için ona karşı tavır alacaktır.

<b>Sonuçlar</b>
$ {soul_uuid_1} ünvan alır ve {faction_uuid} grubuna katılır.
$ Diğer asilzadelerin ilk tavırları: <red>{mind_modify}</red>
$ Sevecen Aile'ye vergi olarak <hint=hint_resource_gold>{give_title_cost}</hint> verilir.
$ Mevcut ünvanların sayısı 1 azalır."
hint_action_take_title,"Asilzadenin Ünvanını Elinden Al
Asilzade {soul_uuid_1}, <hint=hint_title>ünvanını</hint> kaybeder ve <hint=hint_untitled_lord>küçük asilzade</hint> olur.

<b>Sonuçlar</b>
$ Reddedilen asilzade bu aşağılanmayı unutmaz ve hükümdara karşı <red>{der_thought}</red> gücünde olumsuz düşünceler besler.
$ Bu asilzadenin dostları sinirlenir ve hükümdar hakkında kötü düşünür.
$ Mevcut ünvanların sayısı 1 artar."
hint_action_task_dice,"Zar At
Başka bir asilzadeyle zar atarsın.

Oyunun sonucu rastgele belirlenir ancak oyuncuların <hint=hint_skill_knowledge>Zekâ</hint> becerileri sonucu etkiler.

Bahisler <hint=hint_resource_rune>{dice_bet}</hint> olur."
hint_action_task_dice_context,"Zar At
Başka bir asilzadeyle zar at

Bahisler <hint=hint_resource_rune>{dice_bet}</hint> olur.

$ {soul_uuid_1}: Zekâ {number1}
$ {soul_uuid_2}: Zekâ {number2}

Galibin {soul_uuid_1} olma oranı %{ver}."
