Key,Ukrainian
hint_test_inline_image,
hint_settings_language_change_error,"Недоступно
Змінити мову можна лише через головне меню."
hint_changelog_patchnotes,
hint_settings_iron_man,"Залізна воля
Прогрес зберігатиметься лише в момент виходу з гри. Зауважте, що ви не зможете регулярно зберігати й перезавантажувати гру.

Цей режим, хоч і не прощає помилок, проте гарантує більш емоційне проходження."
hint_settings_normal_peaceful,"Мирний режим
Складність гри знижена; сусіди вас не турбуватимуть, хіба якщо ви самі не розпочнете агресивних дій.

Кількість початкових ресурсів збільшено.

<b>Рекомендується всім, хто прагне мирно розвивати своє поселення, а також новим гравцям.</b>"
hint_settings_normal_start,"Звичайний режим
Дозволяє отримати збалансований досвід. Складність гри поступово зростатиме протягом перших кількох днів після початку гри.

Впродовж гри поступово з'являтимуться нові механіки й випробування, щоб ви змогли пристосуватися.

<b>Рекомендується гравцям, які вже знайомі з грою й хочуть пройти її так, як і було задумано.</b>"
hint_settings_hardcore_start,"Суворий режим
<b>У суворому режимі</b> доведеться стикнутися зі складнощами від першого дня, що вимагатиме високої концентрації, багатозадачності й знання гри.

Кількість початкових ресурсів більш обмежена.

<b>Рекомендується лише для дуже досвідчених гравців!</b>"
hint_army_power,"Сила війська
$ Сила військ інших монархів розраховується як сумарна вартість спорядження бійців.
$ Сусіди вираховують силу вашого війська як сумарну вартість найкращої зброї й обладунків, які можуть використати ваші воїни."
hint_desire,"Бажання
Час від часу вельмож будуть охоплювати різні бажання. Вони поділяються на надзвичайну <hint=hint_desire_obsession>одержимість</hint> (наприклад, жага помсти) і більш легкі <hint=hint_desire_dream>мрії</hint>.

<img=hint_desire></img>

$ Охоплений <hint=hint_desire_obsession>одержимістю</hint>, персонаж сильно страждатиме, доки бажання не виповниться. Інтенсивність невдоволення зростатиме, і в деяких випадках персонаж може наважитися на самостійне виконання бажання.
$ <hint=hint_desire_dream>Мрії</hint> турбують персонажа не так сильно, утім, здійснившись, вони дають <hint=hint_tutorial_inspiration>натхнення</hint>.
$ Після здійснення бажання у персонажа завжди з’являються стійкі позитивні думки.
$ Бажання відображаються на першій вкладці вікна персонажа."
hint_action,"Завдання персонажів
Натиснувши на кнопку дії у меню будівлі або персонажа, ви можете доручити своїм вельможам різні завдання, які вони намагатимуться виконати, як тільки зможуть. Завдання відображаються як кнопки над їхнім меню.

Натиснувши на кнопку завдання, можна змусити вельможу виконати завдання негайно, але це його засмутить.

Вельможа не виконуватиме завдання, якщо він <hint=hint_unhappy>невдоволений</hint>.

Ви також можете призначати завдання, <b>натиснувши правою кнопкою миші</b>на будівлях або персонажах, щоб викликати контекстне меню."
hint_fleshwolf,"Плотожер
Хижий представник бідної фауни Норланду.

Уважається, що силою плотожери не поступаються воїну з навичкою ведення бою {wolf_level}, озброєному <hint=hint_resource_wooden_spear>списом</hint>.

$ Мешкають у лісах, уникаючи відкритих просторів. Можуть нападати на людей. Залучайте <hint=hint_bld_patrol_sign_day>денні патрулі</hint> для захисту селян.
$ За традицією вельможі полюють на них по двоє лише з холодною зброєю в руках на знак пошани до цих істот.
$ На них також можна нападати загонами воїнів.
$ Туша кожного вбитого плотожера містить трохи їстівного <hint=hint_resource_meat>м'яса</hint>."
hint_action_task_reward,"Нагорода
Персонаж отримає нагороду від монарха за вірну службу.

Монарх: «{skill_name}» рівня {skill_level}

<b>Як наслідок:</b>
$ Думка <green>«Мене винагороджено»: {mind_modify}</green>
$ Вірність: <green>{loyalty_modify}</green>

<b>Ціна</b>:
<hint=hint_resource_rune>{rings_rew_number}</hint>

<b>Побічний ефект:</b>
Взаємини з монархом: <green>{relations_modify}</green>"
hint_action_task_threat,"Загроза
Монарх погрожує наслідками, якщо персонаж замислить зраду.

Монарх: «{skill_name}» рівня {skill_level}

<b>Як наслідок:</b>
$ Вірність: <green>{loyalty_modify}</green>

<b>Побічні ефекти</b>:
$ Негативна думка: <red>«Мені погрожують»: {threat_moral_modify}</red>
$ Цей персонаж може напасти на монарха."
hint_action_task_donate,"Прохання про пожертву
Правитель просить пожертвувати кілька <hint=hint_resource_rune>священних перснів</hint>, як допомогу.

Правитель: «{skill_name}» рівня {skill_level}

<b>Як наслідок:</b>
$ Думка <red>«Мене змусили до пожертви»: {mind_modify}</red>
$ Вірність: <red>{loyalty_modify}</red>

<b>Правитель отримує</b>:
$ <hint=hint_resource_rune>священних перснів</hint> ({rings_rew_number})"
hint_action_new_heir,"Призначити спадкоємцем
Монарх оголосить цього персонажа своїм спадкоємцем.

<b>Як наслідок:</b>
$ {soul_uuid_1} стане спадкоємцем.
$ Попередній спадкоємець, {soul_uuid_2}, почуватиметься приниженим і буде ображатися на монарха й {soul_uuid_1}."
