Key,Russian,English,Comments,Timestamp,English - final,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian
PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,https://docs.google.com/spreadsheets/d/1YDyd2hxMbwfOL9kNQkoLt7ZkE38CNoMTv6iyiiQG1nI/edit?gid=0#gid=0&range=A3414,,PLACEHOLDER,ZÁSTUPNÝ TEXT,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,TESTO PROVVISORIO,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER
PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,PLACEHOLDER,ZÁSTUPNÝ TEXT,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,TESTO PROVVISORIO,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER
tooltip.construction.place,Разместите объект,Place the object,,,Place the object,Umísti objekt,Coloque o objeto,Colocar el objeto,Umieść obiekt,放置对象,請放置建物,オブジェクトを配置,오브젝트 배치,Objekt platzieren,Placer l'élément,Colloca l'oggetto,Nesneyi yerleştir,Objektum lehelyezése,Розмістити об'єкт
tooltip.construction.rotate,Вращение,Rotate,,,Rotate,Natočit,Girar,Girar,Obróć,旋转,旋轉,回転,회전,Drehen,Pivoter,Ruota,Döndür,Forgatás,Повернути
tooltip.construction.cancel,Назад,Back,,,Back,Zpět,Voltar,Atrás,Wróć,返回,返回,戻る,뒤로,Zurück,Retour,Indietro,Geri,Vissza,Назад
pause_menu.back_to_main_menu,Главное Меню,Main Menu,,,Main Menu,Hlavní nabídka,Menu principal,Menú principal,Menu główne,主菜单,主選單,メインメニュー,메인 메뉴,Hauptmenü,Menu principal,Menu principale,Ana Menü,Főmenü,Головне меню
pause_menu.load,Загрузить,Load,,,Load,Načíst,Carregar,Cargar,Wczytaj,加载,讀檔,ロード,불러오기,Laden,Charger,Carica,Yükle,Betöltés,Завантажити
pause_menu.save,Сохранить,Save,,,Save,Uložit,Salvar,Guardar,Zapisz,保存,存檔,セーブ,저장,Speichern,Sauvegarder,Salva,Kaydet,Mentés,Зберегти
pause_menu.save_and_load,Загрузка и Сохранение,Load and Save,,,Load and Save,Načíst a uložit,Carregar e salvar,Cargar y guardar,Wczytaj i zapisz,加载和保存,讀檔＆存檔,ロード＆セーブ,불러오기 및 저장,Laden und speichern,Charger et sauvegarder,Carica e salva,Yükle ve Kaydet,Betöltés és mentés,Завантажити й зберегти
pause_menu.resume_game,Продолжить Игру,Continue Game,,,Continue Game,Pokračovat ve hře,Continuar jogo,Continuar partida,Kontynuuj,继续游戏,繼續遊戲,ゲームを続ける,게임 계속하기,Spiel fortsetzen,Continuer la partie,Continua partita,Oyuna Devam Et,Játék folytatása,Продовжити гру
options_menu.audio.gui_volume,ГРОМКОСТЬ ИНТЕРФЕЙСА,GUI VOLUME,,,GUI VOLUME,HLASITOST ROZHRANÍ,VOLUME DA INTERFACE,VOLUMEN: INTERFAZ GRÁFICA,GŁOŚNOŚĆ INTERFEJSU,界面音量,介面音量,GUI音量,GUI 볼륨,GUI-LAUTSTÄRKE,VOLUME INTERFACE,VOLUME INTERFACCIA GRAFICA,ARAYÜZ SES DÜZEYİ,KEZELŐFELÜLET HANGEREJE,ГУЧНІСТЬ ІНТЕРФЕЙСУ
options_menu.audio.sounds_volume,ГРОМКОСТЬ ЗВУКА,SOUND VOLUME,,,SOUND VOLUME,HLASITOST ZVUKŮ,VOLUME DOS EFEITOS,VOLUMEN: SONIDO,GŁOŚNOŚĆ DŹWIĘKÓW,声音音量,音效音量,サウンド音量,효과음 볼륨,SOUNDLAUTSTÄRKE,VOLUME AMBIANCE,VOLUME EFFETTI SONORI,ANA SES DÜZEYİ,HANGOK,ГУЧНІСТЬ ЗВУКІВ
options_menu.audio.music_volume,ГРОМКОСТЬ МУЗЫКИ,MUSIC VOLUME,,,MUSIC VOLUME,HLASITOST HUDBY,VOLUME DA MÚSICA,VOLUMEN: MÚSICA,GŁOŚNOŚĆ MUZYKI,音乐音量,音樂音量,BGM音量,음악 볼륨,MUSIKLAUTSTÄRKE,VOLUME MUSIQUE,VOLUME MUSICA,MÜZİK SES DÜZEYİ,ZENE,ГУЧНІСТЬ МУЗИКИ
options_menu.audio,Аудио,Audio,,,Audio,Zvuk,Áudio,Sonido,Dźwięk,音频,音訊,オーディオ,오디오,Audio,Audio,Audio,Ses,Hang,Звук
options_menu.graphics.screen_format_err2,Выберите формат экрана для отображения списка разрешений.,Select the screen format for displaying the list of resolutions.,,,Select the screen format for displaying the list of resolutions.,Vyber formát obrazovky a podívej se na seznam rozlišení.,Selecione o formato de tela para exibição da lista de resoluções.,Selecciona el formato de la pantalla para mostrar la lista de resoluciones.,Wybierz format obrazu dla wyświetlania listy rozdzielczości.,选择显示分辨率列表的屏幕布局。,選取畫面格式以顯示解析度清單。,解像度のリストを表示する画面形式を選択します。,해상도 목록을 표시할 화면 형식을 선택하세요.,"Wähle das Bildschirmformat, um die Liste der möglichen Auflösungen anzuzeigen.",Sélectionnez la définition qui correspond à votre écran.,Seleziona il formato dello schermo per visualizzare l'elenco di risoluzioni.,Çözünürlük listesini görüntülemek için ekran formatını seç.,Válaszd ki a képernyőformátumot a felbontáslista megjelenítéséhez.,Виберіть формат екрану для показу варіантів роздільної здатності.
options_menu.graphics.screen_format_err,Выбрано пользовательское разрешение.,Custom resolution selected.,,,Custom resolution selected.,Je vybráno vlastní rozlišení.,Resolução personalizada selecionada.,Se ha elegido una resolución personalizada.,Wybrano własną rozdzielczość.,已选择自定义分辨率。,已選取自訂解析度。,カスタム解像度を選択しました。,사용자 지정 해상도를 선택했습니다.,Benutzerdefinierte Auflösung ausgewählt.,Définition personnalisée sélectionnée.,Risoluzione personalizzata selezionata.,Özel çözünürlük seçildi.,Egyedi felbontás kiválasztva.,Вибрано власну роздільну здатність.
options_menu.graphics.screen_resolution,РАЗРЕШЕНИЕ,RESOLUTION,,,RESOLUTION,ROZLIŠENÍ,RESOLUÇÃO,RESOLUCIÓN,ROZDZIELCZOŚĆ,分辨率,解析度,解像度,해상도,AUFLÖSUNG,DÉFINITION,RISOLUZIONE,ÇÖZÜNÜRLÜK,FELBONTÁS,РОЗДІЛЬНА ЗДАТНІСТЬ
options_menu.graphics.gui_scale,РАЗМЕР ИНТЕРФЕЙСА,UI SCALE,,,UI SCALE,MĚŘÍTKO ROZHRANÍ,ESCALA DA INTERFACE,ESCALA DE LA INTERFAZ,SKALA INTERFEJSU,UI 缩放,介面縮放,UIスケール,UI 크기,UI-SKALIERUNG,ÉCHELLE DE L'INTERFACE,DIMENSIONI INTERFACCIA,ARAYÜZ ÖLÇEĞİ,KEZELŐFELÜLET MÉRETE,МАСШТАБ ІНТЕРФЕЙСУ
options_menu.graphics.screen_format,ФОРМАТ ЭКРАНА,ASPECT RATIO,,,ASPECT RATIO,POMĚR STRAN,PROPORÇÃO DE TELA,RELACIÓN DE ASPECTO,FORMAT OBRAZU,纵横比,畫面長寬比,アスペクト比,화면 비율,SEITENVERHÄLTNIS,FORMAT D’IMAGE,FORMATO,GÖRÜNTÜ ORANI,KÉPARÁNY,СПІВВІДНОШЕННЯ СТОРІН
options_menu.graphics.fxaa,FXAA,FXAA,,,FXAA,FXAA,FXAA,FXAA,FXAA,快速近似抗锯齿,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA,FXAA
options_menu.graphics.vsync,VSync,VSync,,,VSync,VSync,Sincronização vertical,Sincronización vertical,Synchr. pionowa,垂直同步,垂直同步,垂直同期,VSync,VSync,Synchronisation verticale,V-sync,Dikey Çözünürlük,Vertikális szinkron,Вертикальна синхронізація
options_menu.graphics.fps_unlimited,FPS без ограничений,FPS Unlimited,,,FPS Unlimited,Neomezené FPS,FPS ilimitado,FPS ilimitados,Brak limitu klatek,帧数无限制,不限幀率,FPS無制限,무제한 FPS,Unbegrenzte FPS,IPS illimitées,FPS illimitati,Sınırsız FPS,FPS korlátlan,Без обмеження кадрів на секунду
options_menu.graphics.borderless_mode,Безрамочный режим,Borderless Mode,,,Borderless Mode,Režim bez okrajů,Modo sem bordas,Sin borde,Tryb bez ramki,无边框模式,無邊框,ボーダーレスモード,전체화면 창 모드,Fenstermodus (rahmenlos),Mode sans bordure,Finestra senza bordi,Kenarlıksız Mod,Keret nélküli mód,Режим без рамок
options_menu.graphics.fullscreen_mode,Полноэкранный режим,Fullscreen Mode,,,Fullscreen Mode,Režim celé obrazovky,Modo tela cheia,Pantalla completa,Tryb pełnego ekranu,全屏模式,全螢幕,フルスクリーンモード,전체화면 모드,Vollbild,Mode plein écran,Schermo intero,Tam Ekran Modu,Teljes képernyő mód,Повноекранний режим
options_menu.graphics.windowed_mode,Оконный режим,Windowed Mode,,,Windowed Mode,Režim v okně,Modo janela,Ventana,Tryb w oknie,窗口模式,視窗化,ウィンドウモード,창 모드,Fenstermodus,Mode fenêtré,Finestra,Pencereli Mod,Ablakos mód,Віконний режим
