Key,French
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Des nouveaux styles de bâtiment ont été ajoutés au jeu !
tooltip.construction.place,Placer l'élément
tooltip.construction.rotate,Faire pivoter
tooltip.construction.cancel,Retour
pause_menu.back_to_main_menu,Menu principal
pause_menu.load,Charger
pause_menu.save,Sauvegarder
pause_menu.save_and_load,Charger et sauvegarder
pause_menu.resume_game,Continuer la partie
options_menu.audio.gui_volume,VOLUME INTERFACE
options_menu.audio.sounds_volume,VOLUME AMBIANCE
options_menu.audio.music_volume,VOLUME MUSIQUE
options_menu.audio,Audio
options_menu.graphics.screen_format_err2,Sélectionnez la définition qui correspond à votre écran.
options_menu.graphics.screen_format_err,Définition personnalisée sélectionnée.
options_menu.graphics.screen_resolution,DÉFINITION
options_menu.graphics.gui_scale,ÉCHELLE DE L'INTERFACE
options_menu.graphics.screen_format,FORMAT D’IMAGE
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,Synchronisation verticale
options_menu.graphics.fps_unlimited,IPS illimitées
options_menu.graphics.borderless_mode,Mode sans bordure
options_menu.graphics.fullscreen_mode,Mode plein écran
options_menu.graphics.windowed_mode,Mode fenêtré
options_menu.graphics.screen_mode,MODE D'AFFICHAGE
options_menu.graphics.global_map_blur,Flou d'effet miniature
options_menu.graphics,Graphismes
options_menu.game.secs,s
options_menu.game.hint_lock_delay,DURÉE D’AFFICHAGE DES ASTUCES
options_menu.game.encyclopedia_events,DIDACTICIEL EN JEU
options_menu.game.language,LANGUE
options_menu.game,Jeu
options_menu.title,Paramètres de partie
options_menu.cancel,Annuler
options_menu.ok,OK
options_menu.accept,Accepter
statistics_menu.title,Statistiques
statistics_menu.crafting,Artisanat
statistics_menu.consumable,Consommable
main_menu.new_game.family.random,Aléatoire
main_menu.new_game.family.talents,Talents :
main_menu.new_game.family.unlimited,Illimité
main_menu.new_game.family.banner.back_color,Couleur de fond
main_menu.new_game.family.banner.pattern_color,Couleur du motif
main_menu.new_game.province.game_params.beginning_scenario,Scénarios de départ
crisis.no_crisis,Aucune crise
crisis.horde,Horde impie
scenario.no_scenario,Aucun scénario
scenario.nectar_slaves,Les enfants du nectar
scenario.path_of_sword,La voie de l'acier
scenario.deserters,Désertion
scenario.juice_of_life,L'essence de la vie
scenario.to_the_touch,Du bout des doigts
scenario.path_of_hammer,La voie du marteau
scenario.captured_wife,Prise d'otage
scenario.surrounded_by_enemies,À la merci des ennemis
scenario.peacepul_dolina,Vallée de la paix
scenario.everything_is_lost,Tout est perdu
scenario.slave_owner,Esclavagisme
main_menu.new_game.province.game_params.crisis,Crises
main_menu.new_game.province.game_params.crisis.no_crisis,Aucune crise
main_menu.new_game.province.game_params.crisis.unholy_horde,Horde impie
main_menu.new_game.province.game_params.crisis.pandemic,Pandémie
main_menu.new_game.province.game_params.crisis.religious_war,Guerre religieuse
main_menu.new_game.province.game_params.crisis.long_winter,Hiver interminable
main_menu.new_game.province.game_params.mutators,Modificateurs
mutator.wave_fanatism,Vague fanatique
mutator.after_war,Après-guerre
mutator.decline_of_trade,Commerce en déclin
mutator.power_of_crowd,L'union fait la force
mutator.fast_metabolism,Métabolisme rapide
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Configuration
main_menu.new_game.family_editor.erethic,Hérétique
main_menu.new_game.province.game_params.adv_neighbours_settings,Paramètres avancés des voisins
main_menu.new_game.province.game_params.header,Paramètres de la partie
main_menu.new_game.province.header,Sélectionnez une province de départ
main_menu.new_game.province.header.back_to_select_mode,Configurez votre province et les autres
main_menu.new_game.province.header.next,Suivant
main_menu.new_game.province.banner,Bannière
main_menu.new_game.province.difficulty,Difficulté
main_menu.new_game.province.difficulty.peaceful,Mode paisible
main_menu.new_game.province.difficulty.normal,Normal
main_menu.new_game.hardcore_start,Extrême
main_menu.new_game.province.difficulty.ironman,Volonté de fer
main_menu.new_game.province.neighbours.caution.careful,Prudent
main_menu.new_game.province.neighbours.caution.risky,Risqué
main_menu.new_game.province.neighbours.caution.balanced,Équilibré
main_menu.new_game.province.neighbours.pacifism.default,Normal
main_menu.new_game.province.neighbours.pacifism.peaceful,Pacifique
main_menu.new_game.province.neighbours.city_size,Taille de la cité de départ
main_menu.new_game.province.neighbours.army_power,Puissance militaire
main_menu.new_game.province.neighbours.enemy,Animosité
main_menu.new_game.province.neighbours.friend,Sympathie
main_menu.new_game.province.neighbours.neutral,Neutre
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Ville abandonnée
main_menu.new_game.province.neighbours.empty,Sélection de la province voisine
main_menu.new_game.family.banner.sign_color,Couleur de l'emblème
main_menu.new_game.family.banner.pattern,Motif
main_menu.new_game.family.banner.sign,Emblème
main_menu.new_game.family.look.body,Corps
main_menu.new_game.family.look.skin_color,Couleur de peau
main_menu.new_game.family.look.hair_color,Couleur des cheveux
main_menu.new_game.family.look.beard,Barbe
main_menu.new_game.family.look.haircut,Coupe de cheveux
main_menu.new_game.family.look.head,Tête
main_menu.new_game.family.look.sex,Genre
main_menu.new_game.family.look.random,Apparence aléatoire
main_menu.new_game.family.character_traits,TRAITS DE PERSONNAGE
main_menu.new_game.family.skills,COMPÉTENCES
main_menu.new_game.family.overall_skills,Compétences générales
main_menu.new_game.soft_onboarding,Démarrage facile
main_menu.new_game.family.members,Famille
main_menu.new_game.family.members.husband_wife_child,"Époux, épouse, enfant"
main_menu.new_game.family.members.two_sis_and_son,Deux sœurs et un fils
main_menu.new_game.family.members.two_bro,Deux frères
main_menu.new_game.family.members.three_sisters,Trois sœurs
main_menu.new_game.family.members.father_three_doughters,Père et filles
main_menu.new_game.family_settings,Paramètres de la famille
main_menu.ng_world_should_generate,Générer le monde
main_menu.ng_select_map,Sélectionner la carte
main_menu.ng_save_name,Saisir un nom de fichier
main_menu.save_load.delete,Supprimer
main_menu.save_load.deleted,SUPPRIMÉ
main_menu.save_load.save_as.desc2,Laisser le champ vide pour utiliser le nom de la carte comme nom de fichier.
main_menu.save_load.save_as.desc,Nom du nouveau fichier de sauvegarde
main_menu.save_load.save_as,Nouvelle sauvegarde
main_menu.save_load.rewrite,Écraser
main_menu.save_load.save,Sauvegarder
main_menu.save_load.load,Charger
main_menu.save_load.autosave_morning,Matin
main_menu.save_load.autosave_evening,Soirée
main_menu.mods,Mods
main_menu.credits,Crédits
main_menu.discord,Discord
main_menu.leave_feedback,Avis
main_menu.feedback.send,Donner son avis
main_menu.exit,Quitter
main_menu.settings,Paramètres
main_menu.load_game,Charger une partie
main_menu.start_tutorial,Didacticiel
main_menu.start_new_game,Nouvelle partie
main_menu.continue_last_game,Continuer
main_menu.save_and_exit,Sauvegarder et quitter
main_menu.start,Commencer
main_menu.back,Retour
menu.problems,Problèmes
adv_tutorial.obj_build_sawmill_place_text,Construisez la scierie ici
adv_tutorial.obj_build_field_place_text,Placez le champ de rutabaga ici
adv_tutorial.obj_build_taverna_place_text,Construisez la taverne ici
adv_tutorial.obj_build_generic_place_text,Placez ici
notification.tutorial.ambush,Les bandits attaquent !
loading_screen,Chargement…
loading_screen.ingame.misc_loading,Chargement des données
loading_screen.ingame.gui_init,Création de l'interface
loading_screen.ingame.save_game_load,Chargement de la partie
