Key,Italiana
PLACEHOLDER,TESTO PROVVISORIO
new_buildings_disclaimer_header,Nuovi modelli di edifici aggiunti al gioco!
tooltip.construction.place,Colloca l'oggetto
tooltip.construction.rotate,Cambia variante
tooltip.construction.cancel,Indietro
pause_menu.back_to_main_menu,Menu principale
pause_menu.load,Carica
pause_menu.save,Salva
pause_menu.save_and_load,Carica e salva
pause_menu.resume_game,Continua partita
options_menu.audio.gui_volume,VOLUME INTERFACCIA GRAFICA
options_menu.audio.sounds_volume,VOLUME EFFETTI SONORI
options_menu.audio.music_volume,VOLUME MUSICA
options_menu.audio,Audio
options_menu.graphics.screen_format_err2,Seleziona il formato dello schermo per visualizzare l'elenco di risoluzioni.
options_menu.graphics.screen_format_err,Risoluzione personalizzata selezionata.
options_menu.graphics.screen_resolution,RISOLUZIONE
options_menu.graphics.gui_scale,DIMENSIONI INTERFACCIA
options_menu.graphics.screen_format,FORMATO
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,V-sync
options_menu.graphics.fps_unlimited,FPS illimitati
options_menu.graphics.borderless_mode,Finestra senza bordi
options_menu.graphics.fullscreen_mode,Schermo intero
options_menu.graphics.windowed_mode,Finestra
options_menu.graphics.screen_mode,MODALITÀ SCHERMO
options_menu.graphics.global_map_blur,Sfocatura mappa globale
options_menu.graphics,Grafica
options_menu.game.secs,sec
options_menu.game.hint_lock_delay,DURATA SUGGERIMENTI
options_menu.game.encyclopedia_events,TUTORIAL DI GIOCO
options_menu.game.language,LINGUA
options_menu.game,Gioco
options_menu.title,Impostazioni del gioco
options_menu.cancel,Annulla
options_menu.ok,Ok
options_menu.accept,Accetta
statistics_menu.title,Statistiche
statistics_menu.crafting,Creazione
statistics_menu.consumable,Consumabili
main_menu.new_game.family.random,Casuale
main_menu.new_game.family.talents,Talenti:
main_menu.new_game.family.unlimited,Senza limiti
main_menu.new_game.family.banner.back_color,Colore sfondo
main_menu.new_game.family.banner.pattern_color,Colore motivo
main_menu.new_game.province.game_params.beginning_scenario,Scenario di partenza
crisis.no_crisis,Nessuna crisi
crisis.horde,Orda profana
scenario.no_scenario,Nessuno scenario
scenario.nectar_slaves,Figli del nettare
scenario.path_of_sword,La disciplina della spada
scenario.deserters,Disertori
scenario.juice_of_life,Linfa vitale
scenario.to_the_touch,Tatto
scenario.path_of_hammer,La via del martello
scenario.captured_wife,Ostaggio
scenario.surrounded_by_enemies,Nemici ovunque
scenario.peacepul_dolina,Valle pacifica
scenario.everything_is_lost,Tutto è perduto
scenario.slave_owner,Carcerieri
main_menu.new_game.province.game_params.crisis,Crisi
main_menu.new_game.province.game_params.crisis.no_crisis,Nessuna crisi
main_menu.new_game.province.game_params.crisis.unholy_horde,Orda profana
main_menu.new_game.province.game_params.crisis.pandemic,Pandemia
main_menu.new_game.province.game_params.crisis.religious_war,Guerra di religione
main_menu.new_game.province.game_params.crisis.long_winter,Lungo inverno
main_menu.new_game.province.game_params.mutators,Modificatori
mutator.wave_fanatism,Ondata di fanatismo
mutator.after_war,Dopoguerra
mutator.decline_of_trade,Declino del commercio
mutator.power_of_crowd,Superiorità numerica
mutator.fast_metabolism,Metabolismo veloce
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Configura
main_menu.new_game.family_editor.erethic,Eretico
main_menu.new_game.province.game_params.adv_neighbours_settings,Impostazioni avanzate vicini
main_menu.new_game.province.game_params.header,Parametri di gioco
main_menu.new_game.province.header,Scegli la provincia di partenza
main_menu.new_game.province.header.back_to_select_mode,Configura le province
main_menu.new_game.province.header.next,Avanti
main_menu.new_game.province.banner,Stendardo
main_menu.new_game.province.difficulty,Difficoltà
main_menu.new_game.province.difficulty.peaceful,Modalità pacifica
main_menu.new_game.province.difficulty.normal,Normale
main_menu.new_game.hardcore_start,Ardua
main_menu.new_game.province.difficulty.ironman,Volontà ferrea
main_menu.new_game.province.neighbours.caution.careful,Prudente
main_menu.new_game.province.neighbours.caution.risky,Pericoloso
main_menu.new_game.province.neighbours.caution.balanced,Bilanciato
main_menu.new_game.province.neighbours.pacifism.default,Normale
main_menu.new_game.province.neighbours.pacifism.peaceful,Pacifico
main_menu.new_game.province.neighbours.city_size,Dimensioni della città iniziale
main_menu.new_game.province.neighbours.army_power,Potenza dell'esercito
main_menu.new_game.province.neighbours.enemy,Avversione
main_menu.new_game.province.neighbours.friend,Solidarietà
main_menu.new_game.province.neighbours.neutral,Neutrale
main_menu.new_game.province.kingdom.culture.gwelts,Kaiden
main_menu.new_game.province.kingdom.culture.tanaya,Tanaya
main_menu.new_game.province.kingdom.culture.makha,Makha
main_menu.new_game.province.kingdom.culture.voruns,Varn
main_menu.new_game.province.neighbours.abandoned_town,Città abbandonata
main_menu.new_game.province.neighbours.empty,Scegli vicino
main_menu.new_game.family.banner.sign_color,Colore emblema
main_menu.new_game.family.banner.pattern,Motivo
