Key,Ukrainian
PLACEHOLDER,PLACEHOLDER
new_buildings_disclaimer_header,Нові моделі будівель уже в грі!
tooltip.construction.place,Розмістити об'єкт
tooltip.construction.rotate,Розвернута
tooltip.construction.cancel,Назад
pause_menu.back_to_main_menu,Головне меню
pause_menu.load,Завантажити
pause_menu.save,Зберегти
pause_menu.save_and_load,Завантажити й зберегти
pause_menu.resume_game,Продовжити гру
options_menu.audio.gui_volume,ГУЧНІСТЬ ІНТЕРФЕЙСУ
options_menu.audio.sounds_volume,ГУЧНІСТЬ ЗВУКІВ
options_menu.audio.music_volume,ГУЧНІСТЬ МУЗИКИ
options_menu.audio,Звук
options_menu.graphics.screen_format_err2,Виберіть формат екрану для показу варіантів роздільної здатності.
options_menu.graphics.screen_format_err,Вибрано власну роздільну здатність.
options_menu.graphics.screen_resolution,РОЗДІЛЬНА ЗДАТНІСТЬ
options_menu.graphics.gui_scale,МАСШТАБ ІНТЕРФЕЙСУ
options_menu.graphics.screen_format,СПІВВІДНОШЕННЯ СТОРІН
options_menu.graphics.fxaa,FXAA
options_menu.graphics.vsync,Вертикальна синхронізація
options_menu.graphics.fps_unlimited,Без обмеження кадрів на секунду
options_menu.graphics.borderless_mode,Режим без рамок
options_menu.graphics.fullscreen_mode,Повноекранний режим
options_menu.graphics.windowed_mode,Віконний режим
options_menu.graphics.screen_mode,РЕЖИМ ЕКРАНУ
options_menu.graphics.global_map_blur,Розмиття під час зсуву
options_menu.graphics,Графіка
options_menu.game.secs,с.
options_menu.game.hint_lock_delay,ТРИВАЛІСТЬ ПІДКАЗОК
options_menu.game.encyclopedia_events,Ігрове навчання
options_menu.game.language,МОВА
options_menu.game,Гра
options_menu.title,Настройки гри
options_menu.cancel,Скасувати
options_menu.ok,ОК
options_menu.accept,Прийняти
statistics_menu.title,Статистика
statistics_menu.crafting,Виготовлення
statistics_menu.consumable,Витратне
main_menu.new_game.family.random,Випадкова
main_menu.new_game.family.talents,Таланти:
main_menu.new_game.family.unlimited,Необмежено
main_menu.new_game.family.banner.back_color,Колір тла
main_menu.new_game.family.banner.pattern_color,Колір візерунку
main_menu.new_game.province.game_params.beginning_scenario,Початковий сценарій
crisis.no_crisis,Без кризи
crisis.horde,Нечиста орда
scenario.no_scenario,Без сценарію
scenario.nectar_slaves,Діти нектару
scenario.path_of_sword,Шлях меча
scenario.deserters,Дезертири
scenario.juice_of_life,Сік життя
scenario.to_the_touch,На дотик
scenario.path_of_hammer,Шлях молота
scenario.captured_wife,Ув'язнена
scenario.surrounded_by_enemies,У ворожій облозі
scenario.peacepul_dolina,Мирна долина
scenario.everything_is_lost,Все пропало
scenario.slave_owner,Господарі в'язниці
main_menu.new_game.province.game_params.crisis,Криза
main_menu.new_game.province.game_params.crisis.no_crisis,Без кризи
main_menu.new_game.province.game_params.crisis.unholy_horde,Нечиста орда
main_menu.new_game.province.game_params.crisis.pandemic,Пандемія
main_menu.new_game.province.game_params.crisis.religious_war,Релігійна війна
main_menu.new_game.province.game_params.crisis.long_winter,Довга зима
main_menu.new_game.province.game_params.mutators,Модифікатори
mutator.wave_fanatism,Хвиля фанатизму
mutator.after_war,Після війни
mutator.decline_of_trade,Занепад торгівлі
mutator.power_of_crowd,Разом – сила
mutator.fast_metabolism,Швидкий метаболізм
main_menu.new_game.province.game_params.adv_neighbours_settings.setup,Призначити
main_menu.new_game.family_editor.erethic,Єретик
main_menu.new_game.province.game_params.adv_neighbours_settings,Розширені настройки сусідів
main_menu.new_game.province.game_params.header,Ігрові параметри
main_menu.new_game.province.header,Вибрати стартову провінцію
main_menu.new_game.province.header.back_to_select_mode,Призначити провінції собі й іншим
main_menu.new_game.province.header.next,Далі
main_menu.new_game.province.banner,Стяг
main_menu.new_game.province.difficulty,Складність
main_menu.new_game.province.difficulty.peaceful,Мирний режим
main_menu.new_game.province.difficulty.normal,Звичайний
main_menu.new_game.hardcore_start,Суворий
main_menu.new_game.province.difficulty.ironman,Залізна воля
main_menu.new_game.province.neighbours.caution.careful,Обережний
main_menu.new_game.province.neighbours.caution.risky,Ризикований
main_menu.new_game.province.neighbours.caution.balanced,Урівноважений
main_menu.new_game.province.neighbours.pacifism.default,Звичайний
main_menu.new_game.province.neighbours.pacifism.peaceful,Мирний
main_menu.new_game.province.neighbours.city_size,Початковий розмір міста
main_menu.new_game.province.neighbours.army_power,Сила війська
main_menu.new_game.province.neighbours.enemy,Не любить
main_menu.new_game.province.neighbours.friend,Симпатизує
main_menu.new_game.province.neighbours.neutral,Нейтральний
main_menu.new_game.province.kingdom.culture.gwelts,Кейден
main_menu.new_game.province.kingdom.culture.tanaya,Таная
main_menu.new_game.province.kingdom.culture.makha,Маха
main_menu.new_game.province.kingdom.culture.voruns,Варн
main_menu.new_game.province.neighbours.abandoned_town,Покинуте поселення
main_menu.new_game.province.neighbours.empty,Виберіть сусіда
main_menu.new_game.family.banner.sign_color,Колір знака
main_menu.new_game.family.banner.pattern,Візерунок
main_menu.new_game.family.banner.sign,Знак
main_menu.new_game.family.look.body,Тіло
main_menu.new_game.family.look.skin_color,Колір шкіри
main_menu.new_game.family.look.hair_color,Колір волосся
main_menu.new_game.family.look.beard,Борода
main_menu.new_game.family.look.haircut,Волосся
main_menu.new_game.family.look.head,Голова
main_menu.new_game.family.look.sex,Стать
main_menu.new_game.family.look.random,Випадкова зовнішність
main_menu.new_game.family.character_traits,РИСИ ПЕРСОНАЖА
main_menu.new_game.family.skills,НАВИЧКИ
main_menu.new_game.family.overall_skills,Загальні навички
main_menu.new_game.soft_onboarding,Легкий початок
main_menu.new_game.family.members,Склад родини
main_menu.new_game.family.members.husband_wife_child,"Чоловік, дружина, дитина"
main_menu.new_game.family.members.two_sis_and_son,Дві сестри й син
main_menu.new_game.family.members.two_bro,Два брати
main_menu.new_game.family.members.three_sisters,Три сестри
main_menu.new_game.family.members.father_three_doughters,Батько й дочки
main_menu.new_game.family_settings,Налаштування родини
main_menu.ng_world_should_generate,Генерування світу
main_menu.ng_select_map,Вибрати мапу
main_menu.ng_save_name,Введіть назву збереження
main_menu.save_load.delete,Видалити
main_menu.save_load.deleted,ВИДАЛЕНО
main_menu.save_load.save_as.desc2,Порожню назву буде замінено на назву обраної мапи
main_menu.save_load.save_as.desc,Назва нового збереження
main_menu.save_load.save_as,Нове збереження
main_menu.save_load.rewrite,Перезаписати
main_menu.save_load.save,Зберегти
main_menu.save_load.load,Завантажити
main_menu.save_load.autosave_morning,Ранок
main_menu.save_load.autosave_evening,Вечір
main_menu.mods,Моди
main_menu.credits,Титри
main_menu.discord,Discord
main_menu.leave_feedback,Відгуки
main_menu.feedback.send,Відправити
main_menu.exit,Вийти
main_menu.settings,Настройки
main_menu.load_game,Завантажити гру
main_menu.start_tutorial,Навчання
main_menu.start_new_game,Нова гра
main_menu.continue_last_game,Продовжити
main_menu.save_and_exit,Зберегти й вийти
main_menu.start,Почати
main_menu.back,Назад
menu.problems,Проблеми
adv_tutorial.obj_build_sawmill_place_text,Збудуйте лісопильню тут
adv_tutorial.obj_build_field_place_text,Розмістіть бруквове поле тут
adv_tutorial.obj_build_taverna_place_text,Збудуйте корчму тут
adv_tutorial.obj_build_generic_place_text,Розмістити тут
notification.tutorial.ambush,Напад розбійників!
loading_screen,Завантаження… Зачекайте.
loading_screen.ingame.misc_loading,Завантаження даних
loading_screen.ingame.gui_init,Утворення інтерфейсу
loading_screen.ingame.save_game_load,Завантаження збереженої гри
loading_screen.ingame.new_game_load,Ініціалізація нової гри
loading_screen.ingame.gui_system,Ініціалізація системи інтерфейсу
loading_screen.ingame.map_cells,Утворення клітинок мапи
loading_screen.ingame.trade_manager,Ініціалізація менеджера торгівлі
