Key,Russian,English,Czech,PortugueseBrazilian,Spanish,Polska,SimplifiedChinese,TraditionalChinese,Japanese,Korean,Deutsch,French,Italiana,Turkish,Hungarian,Ukrainian,Indonesia
m_name.gwelts.1,Адал,Adal,,Adal,,,,,,,,,,,,Адал,Aan
m_name.gwelts.2,Адалгис,Adalgis,,Adalgis,,,,,,,,,,,,Адалґіс,Abd Masse
m_name.gwelts.3,Альберик,Alberic,,Alberic,,,,,,,,,,,,Альберік,Abdi
m_name.gwelts.4,Альбо,Albo,,Albo,,,,,,,,,,,,Альбо,Abdul
m_name.gwelts.5,Альдгар,Aldgar,,Aldgar,,,,,,,,,,,,Альдґар,Abdul Arif Dwi Nuggroho
m_name.gwelts.6,Альдред,Aldred,,Aldred,,,,,,,,,,,,Альдред,Abdul Latif
m_name.gwelts.7,Альфрик,Alfric,,Alfric,,,,,,,,,,,,Альфрік,Abdul Qoni
m_name.gwelts.8,Алвин,Alwin,,Alwin,,,,,,,,,,,,Альвін,Abdul Rahim
m_name.gwelts.9,Амальрик,Amalric,,Amalric,,,,,,,,,,,,Амальрік,Abdullah
m_name.gwelts.10,Амольд,Amold,,Amold,,,,,,,,,,,,Амольд,Abed Nego Pagiling
m_name.gwelts.11,Анно,Anno,,Anno,,,,,,,,,,,,Анно,Abian
m_name.gwelts.12,Армин,Armin,,Armin,,,,,,,,,,,,Армін,Abid
m_name.gwelts.13,Аскер,Ascar,,Ascar,,,,,,,,,,,,Аскар,Abid Abdillah Rasyid
m_name.gwelts.14,Асгер,Asger,,Asger,,,,,,,,,,,,Азґер,Abimanyu
m_name.gwelts.15,Атульф,Athulf,,Athulf,,,,,,,,,,,,Атульф,Abizar
m_name.gwelts.16,Аудрик,Audric,,Audric,,,,,,,,,,,,Одрік,Abror
m_name.gwelts.17,Балдерик,Balderic,,Balderic,,,,,,,,,,,,Больдерік,Achmadi
m_name.gwelts.18,Бардульф,Bardulf,,Bardulf,,,,,,,,,,,,Бардульф,Adam Jumahir Syawal
m_name.gwelts.19,Беорн,Beorn,,Beorn,,,,,,,,,,,,Бйорн,Adam Maulana
m_name.gwelts.20,Бернульф,Bernulf,,Bernulf,,,,,,,,,,,,Бернульф,Ade Alimudin
m_name.gwelts.21,Бертольф,Bertolf,,Bertolf,,,,,,,,,,,,Бертольф,Adha
