Code,Indonesia
hint_new_buildings,"~
Kami terus-menerus meningkatkan grafis permainan, dan beberapa bangunan yang ada di save saat ini telah menjadi lebih besar atau diganti dan tidak lagi muat di peta.

Oleh karena itu, kami telah mengumpulkannya di <b>Menu Konstruksi</b>, dari mana Anda dapat menempatkannya kembali di peta secara gratis.

$ Ikuti <b>penanda biru</b> untuk menemukan bangunan gratis yang dikumpulkan dari level.
$ Arahkan kursor di atasnya untuk melihat di petunjuk bangunan mana yang Anda terima secara gratis - dan tempatkan sesuka hati!

Maaf atas ketidaknyamanannya, tapi ini adalah cara terbaik untuk mempertahankan kompatibilitas save saat kami mengubah arsitektur permainan!

Saat memulai permainan baru, semuanya akan berfungsi sempurna dari awal!"
hint_settings_language_change_error,"Tidak Tersedia
Perubahan bahasa hanya mungkin melalui Menu Utama."
hint_changelog_patchnotes,"~
Selamat datang di Early Access Norland!

Permainan ini berkembang pesat, dan kami terus menambahkan mekanik baru, yang sering menyebabkan bug atau masalah mengganggu lainnya.

Jadi mohon bersabar, dan beri tahu kami di forum, melalui email, atau di Discord jika Anda mengalami pengalaman bermain yang tidak menyenangkan - kami akan berusaha memperbaiki semuanya secepat mungkin!

Salam hangat,  
Tim Pengembang."
hint_settings_iron_man,"Kehendak Besi
Ketika diaktifkan, permainan hanya akan menyimpan kemajuan Anda saat keluar. Disarankan bahwa Anda tidak akan bisa menyimpan & memuat secara rutin.

Mode ini, meskipun tak kenal ampun, akan memungkinkan Anda mengalami permainan dengan cara yang lebih emosional"
hint_settings_normal_peaceful,"Mode Damai
Kesulitan permainan dikurangi, dan tetangga tidak akan mengganggu Anda kecuali Anda memulai tindakan agresif sendiri.

Jumlah sumber daya awal juga telah ditingkatkan.

<b>Direkomendasikan untuk mereka yang ingin mengembangkan pemukiman secara damai, serta untuk pemain baru.</b>"
hint_settings_normal_start,"Mode Normal
Mode yang memungkinkan pengalaman yang seimbang. Kesulitan permainan akan meningkat secara bertahap selama beberapa hari pertama setelah memulai permainan.

Mekanik dan tantangan baru akan diperkenalkan sepanjang permainan, memungkinkan Anda beradaptasi.

<b>Direkomendasikan untuk pemain yang sudah familiar dengan permainan dan ingin memainkannya seperti yang dimaksudkan.</b>"
hint_settings_hardcore_start,"Hardcore
<b>Di mode hardcore</b>, semua tantangan dimulai dari hari pertama, membutuhkan konsentrasi tinggi, keterampilan multitasking, dan pengetahuan permainan.

Sumber daya awal juga lebih terbatas.

<b>Direkomendasikan hanya untuk pemain yang sangat berpengalaman!</b>"
hint_army_power,"Kekuatan Tentara
$ Kekuatan tentara raja-raja lain dihitung sebagai total nilai peralatan petarung.
$ Kekuatan tentara Anda dihitung oleh tetangga sebagai total nilai senjata dan zirah terbaik yang bisa dipakai prajurit Anda."
hint_desire,"Keinginan
Dari waktu ke waktu, karakter dikuasai oleh berbagai keinginan. Ini dibagi menjadi obsesi kuat <hint=hint_desire_obsession>obsesi</hint> (seperti keinginan balas dendam) dan mimpi ringan <hint=hint_desire_dream>mimpi</hint>.

<img=hint_desire></img>

$ Ketika karakter dikuasai oleh <hint=hint_desire_obsession>obsesi</hint>, mereka akan menderita hebat sampai keinginan itu terpenuhi. Intensitas ketidakpuasan akan bertambah, dan dalam beberapa kasus, karakter mungkin memutuskan untuk memenuhi keinginan itu sendiri.
$ <hint=hint_desire_dream>Mimpi</hint> tidak mengganggu karakter sebanyak itu, tapi memenuhi keinginan ini memberi mereka <hint=hint_tutorial_inspiration>Inspirasi</hint>.
$ Memenuhi keinginan selalu memberi karakter pikiran positif yang kuat.
$ Keinginan ditampilkan di tab pertama jendela karakter."
hint_action,"Tugas Karakter
Dengan mengklik tombol aksi di menu Bangunan atau Karakter, Anda dapat menugaskan berbagai tugas kepada para lord, yang akan mereka usahakan untuk diselesaikan saat tersedia. Tugas-tugas ini ditampilkan sebagai tombol di atas menu mereka.

Anda dapat memaksa mereka untuk segera melakukan tugas dengan mengklik tombol tugas, tapi itu akan membuat mereka kesal.

Seorang lord tidak akan menjalankan tugas jika mereka <hint=hint_unhappy>tidak bahagia</hint>.

Anda juga dapat menugaskan tugas dengan <b>klik kanan</b> pada bangunan atau karakter untuk membuka menu konteks."
